gene	DDcategory	Clusters.combined	Clusters.c1	Clusters.c2	nonzero.pvalue	nonzero.pvalue.adj	zero.pvalue	zero.pvalue.adj	combined.pvalue	combined.pvalue.adj
gene1	DM	2	3	2	9.5501384578256e-13	1.0514878566282e-12	1.09134164298741e-50	2.6061889981789e-49	1.49790500487121e-60	1.79739613603865e-60
gene2	NS	2	2	2	1.33226762955019e-15	1.56026072850264e-15	0.433538005418266	0.491052533391778	2.0843828472933e-14	2.23077762921022e-14
gene3	NS	2	2	2	0	0	0.615844266824177	0.664879100484941	0	0
gene4	DB	1	2	1	0	0	3.98202278110718e-06	9.31467317218053e-06	0	0
gene5	DB	1	1	2	2.40106157178843e-10	2.53309937680436e-10	0.782288856140153	0.816372404007465	4.39442682627542e-09	4.50075721549141e-09
gene6	DB	1	2	1	0	0	2.32691986076518e-05	5.07774610992367e-05	0	0
gene7	NS	2	2	2	0	0	0.253338258500551	0.303671871142404	0	0
gene8	NS	2	2	2	0	0	0.349839054404929	0.406081316778792	0	0
gene9	NS	1	1	1	3.33066907387547e-16	3.9486296074398e-16	0.130238306226929	0.167995235378173	1.67771528851569e-15	1.81841516164822e-15
gene10	NS	1	1	1	0	0	0.131268651021247	0.169242418721995	0	0
gene11	DM	1	2	3	0	0	3.21771714765448e-09	9.91974457851091e-09	0	0
gene12	DB	1	2	1	0	0	0.00118640217143557	0.00211009723687963	0	0
gene13	DB	1	2	1	0	0	4.73609785974365e-28	4.6776275157962e-27	0	0
gene14	NS	1	1	1	6.66133814775094e-16	7.8460991139587e-16	0.871981793068387	0.89296650595841	2.09584825023804e-14	2.24274826135691e-14
gene15	DZ	2	3	3	0	0	0.00120947942053487	0.0021477991929587	0	0
gene16	DZ	1	1	1	0	0	4.15705286237313e-13	1.72581333155086e-12	0	0
gene17	DZ	1	1	1	4.59603315172696e-06	4.65597887980445e-06	3.90744269072395e-05	8.30266707192339e-05	4.2095922840772e-09	4.3125545233215e-09
gene18	DE	1	1	1	0	0	0.000101350311165271	0.000205787433838114	0	0
gene19	DB	1	1	3	3.67218186414497e-07	3.75382761476614e-07	4.58014876517555e-20	2.95731962238938e-19	1.01498930506011e-24	1.16247880321845e-24
gene20	DB	1	3	1	2.1142688488851e-08	2.18613814024568e-08	1.82620802259286e-13	7.81683476765269e-13	1.85345428603689e-19	2.07205621692218e-19
gene21	DZ	2	2	2	0	0	0.000924122726367314	0.00166884465258206	0	0
gene22	DZ	2	2	2	6.66133814775094e-16	7.8460991139587e-16	2.79615819084159e-17	1.51143685991437e-16	1.37946686308994e-30	1.60706784690834e-30
gene23	NS	2	2	2	0	0	0.275659767724455	0.327678772926544	0	0
gene24	NS	2	2	2	0	0	0.0287230621870024	0.0418018005268364	0	0
gene25	DZ	2	2	2	0	0	1.00305785923953e-07	2.72755366210614e-07	0	0
gene26	DE	1	1	1	0	0	2.02631410023653e-13	8.64099829525174e-13	0	0
gene27	NS	2	2	2	0	0	0.206829023066549	0.254050696227912	0	0
gene28	DE	1	1	1	0	0	2.28876583902944e-09	7.15518824237418e-09	0	0
gene29	DE	1	1	1	0	0	0.069990759392051	0.0955016331462405	0	0
