geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer
EE	0.912	0.673	0.829	0.816	0.885	0.682	0.791	0.802	0.925598073490979	0.0232348060160429	0.939005698640221
EE	0.617	0.425	0.385	0.016	0.615	0.397	0.344	0.009	0.197630493893995	1.27633721092538e-09	0.881242231176195
EE	0.35	0.468	0.161	0.07	0.336	0.465	0.144	0.059	0.238710431183779	3.143698757963e-05	0.343555749508635
meanDE	0.013	0.019	0.01	0.142	0.013	0.014	0.007	0.158	0.00562705857422191	2.83354327861968e-63	0.0324486858711267
varDE	0.324	0.141	0.473	0.32	0.307	0.139	0.476	0.359	0.375939985106493	6.15508718305736e-44	1.596112728707e-06
varDE	0.017	0.001	0.039	0.001	0.021	0.001	0.025	0.004	0.61278798227843	1.3660081369826e-97	4.41357755851919e-06
EE	0.892	0.841	0.946	0.522	0.881	0.827	0.948	0.503	0.980370144519959	0.0327595576525724	0.494686362459252
EE	0.063	0.03	0.084	0.232	0.047	0.033	0.082	0.262	0.068714242269225	3.96502313873193e-30	0.146862538962127
EE	0.54	0.945	0.315	0.328	0.547	0.935	0.314	0.304	0.239538451470655	0.0114418210140673	0.750001143292022
EE	0.198	0.149	0.192	0.284	0.183	0.133	0.185	0.288	0.243069957346354	2.53814881897801e-05	0.991498948046049
EE	0.548	0.366	0.526	0.629	0.528	0.352	0.515	0.591	0.721106423245035	0.00174269951173374	0.676031267282833
EE	0.573	0.7	0.783	0.868	0.597	0.704	0.771	0.866	0.673122952154083	0.0216309745479505	0.780645407348548
EE	0.743	0.507	0.713	0.893	0.759	0.523	0.704	0.865	0.683749893363818	0.159267364679501	0.897210529556294
EE	0.678	0.584	0.651	0.568	0.642	0.552	0.639	0.564	0.426945980198337	1.41107809285125e-21	0.554537798947272
EE	0.859	0.736	0.693	0.552	0.866	0.745	0.687	0.492	0.427175226938115	1.97762702966855e-05	0.40102596692877
meanDE	0.021	0.025	0.013	0.002	0.014	0.012	0.007	0.004	0.00403898999023839	3.95707658140939e-84	0.00212950220804306
EE	0.736	0.575	0.699	0.136	0.725	0.565	0.701	0.149	0.485298189154997	7.39362507132305e-14	0.441759451710482
varDE	0.033	0.002	0.035	0.001	0.037	0.003	0.034	0.001	0.266492957759759	5.2533724507748e-105	3.88215557787561e-05
meanDE	0.091	0.079	0.053	0.293	0.081	0.076	0.047	0.261	0.0430084830330901	1.16065133886193e-45	0.415808627325592
EE	0.349	0.337	0.468	0.632	0.383	0.345	0.452	0.59	0.618817731036566	0.000657043348915836	0.9766885662778
EE	0.144	0.143	0.205	0.066	0.165	0.159	0.232	0.062	0.307302395331607	2.56969393625259e-06	0.636288744336044
EE	0.479	0.317	0.607	0.664	0.48	0.328	0.606	0.67	0.561422078790416	0.00179114182698673	0.789554925921878
EE	0.341	0.523	0.36	0.727	0.265	0.471	0.328	0.713	0.264513124796287	9.6908878788183e-28	0.675748643574538
EE	0.779	0.563	0.59	0.095	0.748	0.576	0.544	0.085	0.610388388785249	0.00156879502383115	0.730381343870866
EE	0.784	0.44	0.844	0.587	0.77	0.449	0.816	0.588	0.796647809965578	0.71276159976672	0.979005402112946
EE	NA	NA	0.019	0.036	NA	NA	0.024	0.039	0.00445733640827379	0	0.00243072693984337
EE	0.369	0.517	0.622	0.372	0.386	0.555	0.634	0.345	0.501629464470319	0.0623581951338901	0.747812409813947
varDE	0.057	0.014	0.194	0.159	0.063	0.017	0.207	0.183	0.0845512183772434	5.2430433801771e-132	8.26258262530032e-05
EE	0.778	0.67	0.847	0.156	0.789	0.616	0.842	0.147	0.874055155044015	0.018326792437524	0.786128332563445
EE	0.758	0.674	0.617	0.204	0.752	0.675	0.631	0.209	0.863129297665528	0.0516019119006165	0.804049867179661
EE	0.617	0.906	0.317	0.041	0.62	0.902	0.346	0.054	0.228326157728704	1.78623951105724e-09	0.251565880890856
EE	0.53	0.43	0.933	0.627	0.495	0.372	0.928	0.587	0.733420846389139	8.14651933079585e-06	0.29340875642893
EE	0.491	0.46	0.622	0.781	0.465	0.458	0.623	0.76	0.2345778618872	3.8219811876119e-10	0.191290554641888
EE	0.484	0.551	0.58	0.888	0.457	0.545	0.611	0.872	0.504934120104644	5.05676352129325e-10	0.506996033381984
meanDE	0.326	0.328	0.336	0.362	0.332	0.303	0.34	0.32	0.0380769175085817	1.10548034166395e-187	0.276417504138592
EE	0.558	0.531	0.267	0.835	0.545	0.522	0.273	0.814	0.228132782959521	1.03338288219956e-05	0.527568628394154
EE	0.278	0.243	0.433	0.647	0.262	0.244	0.433	0.61	0.537547856306963	0.000489210127069388	0.5105501875403
EE	0.694	0.67	0.673	0.332	0.698	0.681	0.668	0.302	0.868800148111366	0.000385965825964021	0.595927700423974
EE	0.201	0.347	0.262	0.595	0.188	0.339	0.205	0.613	0.15006008718093	8.87503528552948e-12	0.143333258601116
