geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer	ranksum_pval
EE	0.67	0.523	0.479	0.227	0.609	0.462	0.505	0.255	0.995957453211979	0.511673084395562	0.989404004430416	0.484942354535198
EE	0.392	0.378	0.342	0.877	0.396	0.378	0.34	0.842	0.171744258372115	8.95864015507479e-09	0.327694421537511	9.92290954217254e-10
EE	0.525	0.446	0.871	0.392	0.513	0.463	0.862	0.36	0.649024894746277	0.304140937190854	0.376861102860789	0.209776666899182
meanDE	0.001	0.005	0.002	0.004	0.001	0.001	0.001	0.001	7.7302746709966e-13	8.21893365294001e-55	3.45572131663404e-09	6.56470844075824e-69
varDE	0.336	0.197	0.206	0.439	0.297	0.231	0.206	0.43	0.116029714587716	5.15556241824296e-23	3.5415846292905e-05	0.20056803990482
varDE	0.001	0.001	0.003	0.297	0.001	0.001	0.002	0.221	0.129853235077731	1.97400045251398e-36	2.47147150298098e-08	4.65636666941268e-08
EE	0.02	0.101	0.028	0.195	0.022	0.066	0.018	0.177	0.033380383594987	0.00147326046713943	0.0310638335805928	2.40247124405933e-05
EE	0.617	0.526	0.813	0.263	0.579	0.491	0.755	0.25	0.530091123869663	0.00881920205150456	0.731980018733915	0.0021560435619837
EE	0.923	0.905	0.882	0.561	0.936	0.894	0.898	0.537	0.872440478496446	0.375929452412811	0.716547523771287	0.0022809856954219
EE	0.243	0.637	0.384	0.609	0.257	0.609	0.381	0.658	0.164816996700927	0.00162814252403521	0.277169420316022	0.000104353414550564
EE	0.021	0.097	0.02	0.003	0.027	0.103	0.029	0.008	0.00937856028045532	9.20852272036656e-20	0.00346378039385448	3.84372581624546e-12
EE	0.54	0.842	0.916	0.991	0.598	0.874	0.937	0.997	0.604718249544226	0.414437606717166	0.895396668007773	0.926531888822282
EE	0.937	0.675	0.877	0.737	0.919	0.715	0.828	0.71	0.957047376933612	0.126473531501442	0.445314877149248	0.168975418584654
EE	0.347	0.322	0.357	0.294	0.324	0.31	0.331	0.285	0.235384297360289	6.33550045079155e-13	0.258411737397412	5.42273176096523e-24
EE	0.243	0.222	0.409	0.209	0.224	0.189	0.329	0.174	0.405321587508279	0.00432546660100837	0.196993515298927	0.00101990514288602
meanDE	0.002	0.001	0.002	0.001	0.001	0.001	0.001	0.001	3.13880674763914e-08	4.84402969181502e-68	2.66260113301114e-07	4.07757949944842e-90
EE	0.777	0.957	0.773	0.913	0.727	0.956	0.784	0.922	0.894877366655814	0.449038481978715	0.922294324998771	0.768810182008544
varDE	0.023	0.004	0.001	0.00700000000000001	0.018	0.003	0.004	0.001	0.20031568403809	6.87540879195696e-47	2.95626345065548e-05	3.30303212042195e-25
meanDE	0.08	0.087	0.096	0.34	0.051	0.052	0.091	0.303	0.139122015988255	8.01188602649484e-08	0.108197264985787	9.57189428508168e-16
EE	0.703	0.966	0.694	0.548	0.678	0.98	0.686	0.564	0.486571241885938	0.00167745264316589	0.770896192526105	0.124910177377517
EE	0.613	0.64	0.55	0.463	0.569	0.574	0.45	0.431	0.989071458149704	0.452802363700587	0.942305838503066	0.0154651086595679
EE	0.187	0.224	0.32	0.177	0.177	0.214	0.397	0.187	0.36275033614	0.0503442227110398	0.469441175507968	0.0113609137636482
EE	0.227	0.172	0.148	0.253	0.198	0.157	0.13	0.262	0.0872925170296852	1.26823215279664e-12	0.145011446364088	4.68116217204013e-17
EE	0.2	0.264	0.427	0.376	0.153	0.208	0.382	0.375	0.933338286117953	0.369298861148893	0.980031552715269	0.0954220448862112
EE	0.561	0.838	0.844	0.266	0.472	0.827	0.829	0.241	0.937644736013913	0.388876449886635	0.743039080937209	0.186217789134641
EE	0.443	0.615	0.656	0.704	0.52	0.64	0.699	0.702	0.62088810374319	5.82640475378154e-11	0.694551390339468	0.000132254544790373
EE	0.12	0.088	0.287	0.107	0.11	0.065	0.232	0.133	0.280619094466752	0.00025618527932168	0.248787933179223	0.165096747586661
varDE	0.002	0.001	0.002	0.072	0.006	0.003	0.001	0.046	0.0424693272020621	5.86785935950693e-52	4.68819068712109e-07	1.06483651162139e-31
EE	0.998	0.844	0.881	0.831	1	0.858	0.857	0.873	0.999771254851081	0.652683588334679	0.959719189298631	0.0473829855063966
EE	0.801	0.595	0.44	0.703	0.796	0.655	0.429	0.735	0.614697258234901	0.277853023718043	0.934105098163364	0.51265439969797
EE	0.99	0.774	0.894	0.536	0.988	0.709	0.883	0.591	0.699545054165013	0.34080921029321	0.460005636366833	0.456506324999071
EE	0.583	0.577	0.976	0.617	0.537	0.563	0.977	0.59	0.669544038975688	0.0163193093041481	0.610781078434032	0.896876494327591
EE	0.345	0.243	0.808	0.973	0.333	0.223	0.831	0.978	0.60843712026336	0.171022722017608	0.708681995608032	0.00254962897854872
EE	0.598	0.505	0.659	0.367	0.634	0.552	0.685	0.377	0.985397399252208	0.305445136620107	0.810050475627314	0.883076962472057
meanDE	0.99	0.626	0.566	0.174	0.995	0.598	0.533	0.127	0.686551500373117	6.51061649030146e-18	0.357921006416278	1.87867770402211e-45
EE	0.55	0.955	0.838	0.143	0.501	0.923	0.791	0.193	0.644174088997156	0.0787150844720823	0.678126719132483	0.429643617526258
EE	0.568	0.635	0.947	0.849	0.583	0.659	0.948	0.921	0.896234634282055	0.520894068416054	0.674231197867441	0.727857860482261
EE	0.03	0.0610000000000001	0.031	0.134	0.043	0.077	0.03	0.145	0.00207638367928691	2.84411069853388e-33	0.00737924397169046	4.68185377345677e-41
EE	0.479	0.488	0.476	0.936	0.491	0.522	0.496	0.911	0.625914845802273	0.611680224542534	0.858795152383571	0.744780913874537
EE	0.025	0.021	0.02	0.127	0.021	0.025	0.018	0.152	0.0375124812546771	2.71828784683703e-06	0.0336836312875062	0.0187735197287356
varDE	0.001	0.001	0.001	0.003	0.001	0.001	0.001	0.001	0.915572750771078	5.64050752980955e-41	4.42598094754615e-11	2.97127542586693e-08
meanDE	0.281	0.12	0.0649999999999999	0.082	0.308	0.148	0.078	0.12	0.109228384279418	1.46531050450323e-103	0.0404756166330786	3.38813440339081e-87
meanDE	0.012	0.003	0.002	0.078	0.011	0.003	0.002	0.074	3.65625032158167e-05	1.76348511013031e-41	8.71118288356923e-05	2.26111420763595e-35
varDE	0.554	0.56	0.507	0.8	0.512	0.543	0.438	0.857	0.430725538674482	1.09043056012099e-16	0.159890310350388	2.18823171878196e-06
EE	0.281	0.247	0.358	0.653	0.283	0.258	0.408	0.687	0.329775623779757	0.00033573292250045	0.487825001565333	1.20386482314846e-05
EE	0.952	0.997	1	0.461	0.958	0.988	0.997	0.451	0.907561150159122	0.62228620019626	0.990712570199479	0.0173434848739385
EE	0.16	0.142	0.177	0.047	0.175	0.148	0.168	0.047	0.612446547322547	0.681022113044041	0.891902006626572	0.808894595803399
EE	0.025	0.018	0.0620000000000001	0.123	0.026	0.017	0.063	0.135	0.0432696312863642	4.98302224580619e-11	0.0911585110062767	7.35065555832852e-07
varDE	0.001	0.001	0.001	0.002	0.002	0.002	0.001	0.002	0.0361394015601163	3.41286627862639e-41	2.01595246231121e-10	1.98550292984462e-23
meanDE	0.416	0.402	0.88	0.831	0.351	0.375	0.916	0.833	0.734386413651072	0.44479387651511	0.944072451242709	0.000308903675013893
EE	0.734	0.651	0.838	0.225	0.702	0.651	0.817	0.357	0.666979943373975	0.0833830652217466	0.800377689317446	0.0536317457911169
EE	0.722	0.856	0.588	0.084	0.731	0.867	0.604	0.085	0.178777882455783	9.61961825048343e-08	0.118423690144594	0.0712064584182579
EE	0.702	0.697	0.907	0.583	0.664	0.666	0.906	0.559	0.709145446295258	0.0554048521410245	0.649853277525346	0.326790159494534
EE	0.364	0.628	0.359	0.655	0.274	0.511	0.255	0.677	0.203014653177583	4.63852466628694e-09	0.387156264244595	5.66070494510783e-17
EE	0.267	0.314	0.402	0.035	0.282	0.317	0.416	0.053	0.420303909970069	0.0117360728231785	0.565085689250792	0.315784483027452
EE	0.394	0.242	0.834	0.846	0.437	0.284	0.843	0.881	0.669482355534212	0.0912723550188895	0.69618280201942	0.00600949492242084
EE	0.908	0.982	0.98	0.785	0.939	0.997	0.985	0.778	0.744424580771021	0.942738955057329	0.944476377966742	0.627490317858306
EE	0.553	0.598	0.894	0.9	0.602	0.668	0.918	0.918	0.746355016074556	0.228786655207492	0.531447286898496	0.0324498733295391
EE	0.248	0.212	0.326	0.736	0.252	0.231	0.31	0.704	0.165798733344922	0.0175671226477352	0.301732115659386	0.00125102726835987
EE	0.981	0.94	0.809	0.999	0.992	0.886	0.815	0.997	0.856847622752673	0.695269243089429	0.970266207134041	0.0155071364132585
EE	0.111	0.111	0.041	0.518	0.08	0.081	0.037	0.411	0.0118414144330622	2.85625467100891e-10	0.338471141160589	0.000512628041021984
EE	0.287	0.203	0.275	0.163	0.203	0.167	0.225	0.121	0.196474082808679	3.11322949740687e-08	0.0903635448889258	0.00200053773181446
EE	0.31	0.259	0.328	0.186	0.314	0.278	0.289	0.198	0.467466611151007	0.435023177911364	0.631353714424022	0.859163930561701
EE	0.461	0.298	0.875	0.768	0.477	0.312	0.911	0.766	0.960645409887709	0.78359543492942	0.943438877222708	0.0402628425017799
EE	0.387	0.407	0.69	0.947	0.359	0.419	0.612	0.96	0.53419895639971	0.301272430263448	0.680050370553106	0.065375444918534
EE	0.537	0.419	0.636	0.542	0.53	0.418	0.572	0.545	0.492892546976023	0.141486103028568	0.493615225612687	0.519930532148328
EE	0.078	0.0590000000000001	0.106	0.0629999999999999	0.045	0.031	0.069	0.055	0.0289615336389212	2.48047805094022e-47	0.0109959615239721	7.9764556665873e-13
EE	0.583	0.515	0.699	0.717	0.519	0.444	0.626	0.719	0.503407238990398	0.00200766480072901	0.557037697809268	8.67534234110303e-13
EE	0.024	0.0669999999999999	0.149	0.379	0.021	0.054	0.145	0.349	0.37021762365966	0.000401277603102374	0.353698313443312	0.00255106763513276
EE	0.995	0.762	0.717	0.889	0.976	0.736	0.723	0.851	0.667298950051359	0.0658230897277148	0.70376309406545	0.224888967675412
meanDE	0.001	0.001	0.001	0.012	0.001	0.001	0.001	0.007	7.66699329246639e-14	9.99439865647243e-54	6.93976514200547e-10	1.14136342884337e-54
EE	0.938	0.775	0.588	0.161	0.903	0.732	0.56	0.143	0.589923868928509	0.491217165179176	0.843257386867692	0.222076326070329
EE	0.432	0.462	0.539	0.542	0.38	0.403	0.452	0.515	0.350236009213188	7.61254378801197e-07	0.49563763369639	0.348508018803419
EE	0.212	0.472	0.634	0.542	0.219	0.462	0.651	0.587	0.571028718949415	0.0620315988965294	0.447832764286125	0.144281135816343
EE	0.221	0.236	0.179	0.204	0.185	0.206	0.131	0.148	0.141545248106302	0.000612498528866237	0.130026572038	3.32600721632707e-07
EE	0.996	0.808	0.819	0.703	0.999	0.774	0.823	0.712	0.619652260400999	0.0900614968255016	0.676561838710272	0.251282299304812
meanDE	0.005	0.00800000000000001	0.001	0.532	0.003	0.003	0.001	0.532	1.10155167305668e-12	1.37976045742843e-22	4.9420776676569e-08	5.96956909137219e-26
EE	0.661	0.578	0.819	0.785	0.592	0.518	0.772	0.756	0.816097883523886	0.828706245155887	0.908440813159368	0.730682284875739
EE	0.021	0.041	0.024	0.108	0.042	0.048	0.053	0.135	0.0340080604884696	4.58104658012495e-20	0.0338236790639172	3.021192659224e-12
EE	0.00800000000000001	0.01	0.003	0.026	0.003	0.002	0.002	0.026	0.000442557885317378	8.13763256308169e-23	0.000103192479244623	1.28354889639687e-13
