geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer	ranksum_pval
EE	0.672	0.685	0.643	0.62	0.726	0.729	0.696	0.617	0.780527442145902	0.207902544242184	0.884593542014451	0.769307276122396
EE	0.362	0.372	0.368	0.62	0.346	0.38	0.358	0.671	0.239957063471853	4.32459614834376e-20	0.43604026036031	9.92936635051227e-19
EE	0.412	0.552	0.513	0.57	0.413	0.543	0.506	0.584	0.292196170990029	0.000484900372509787	0.443127929290896	0.00297819975466624
meanDE	0.055	0.098	0.05	0.112	0.003	0.014	0.004	0.017	0.00254664901130577	2.91641647459855e-29	0.00441760805808989	4.0880806952752e-53
varDE	0.244	0.226	0.344	0.51	0.184	0.203	0.294	0.499	0.114356940733449	3.57969336362386e-34	0.00060810155870178	8.4870001574406e-13
varDE	0.022	0.005	0.05	0.103	0.028	0.007	0.044	0.103	0.230736820796684	1.87788796965587e-45	1.22431254140179e-05	1.75759663352905e-07
EE	0.032	0.048	0.053	0.444	0.042	0.036	0.063	0.399	0.0754940463931896	3.70866444573862e-05	0.133624009431369	9.87570982560069e-08
EE	0.494	0.467	0.602	0.856	0.464	0.416	0.569	0.846	0.409135247793297	2.98913274935774e-10	0.754647586589349	1.95399840647593e-16
EE	0.347	0.454	0.405	0.693	0.336	0.465	0.386	0.732	0.649483274979213	0.0119869253971901	0.514802776212397	2.99176082498886e-08
EE	0.775	0.712	0.495	0.405	0.795	0.712	0.537	0.355	0.498086247272335	0.00809345628463863	0.651044979319925	0.000406595158140603
EE	0.055	0.105	0.034	0.025	0.076	0.109	0.046	0.032	0.0226528999142905	1.99315124098846e-38	0.0200857308637639	2.35095800913551e-25
EE	0.581	0.684	0.808	0.972	0.616	0.668	0.83	0.976	0.647773262409058	0.123324697457302	0.926466069230552	0.92183782433449
EE	0.586	0.487	0.623	0.694	0.6	0.437	0.651	0.717	0.600939117163516	0.00446340318644658	0.701852745344682	4.93761504300601e-07
EE	0.268	0.224	0.268	0.296	0.273	0.231	0.259	0.3	0.238486344320135	1.08625203844049e-31	0.291260827538241	2.93796002718002e-67
EE	0.274	0.195	0.231	0.511	0.236	0.16	0.192	0.511	0.185308059883646	7.42604592092165e-09	0.368341512538774	9.02379401100511e-16
meanDE	0.031	0.017	0.034	0.016	0.017	0.017	0.03	0.015	0.0122173076977518	3.96264576655609e-57	0.00549729914795219	4.82696723356103e-83
EE	0.996	0.912	0.96	0.668	0.997	0.94	0.954	0.655	0.744492400539019	0.046217948303904	0.874310470910288	0.209076588021679
varDE	0.013	0.001	0.002	0.001	0.024	0.002	0.01	0.001	0.145491131648759	3.76911475955021e-72	0.000247228311131499	2.82147193871667e-40
meanDE	0.81	0.769	0.874	0.722	0.738	0.699	0.848	0.703	0.819029984515589	0.0169658501787437	0.912329286238783	0.00582498496355976
EE	0.705	0.838	0.711	0.959	0.7	0.859	0.722	0.959	0.611587335388128	8.48706790029432e-05	0.934323036359381	0.106261374940002
EE	0.932	0.762	0.97	0.752	0.904	0.7	0.936	0.792	0.728972353099382	0.269198457783349	0.932639080859682	0.00840717713259046
EE	0.917	0.883	0.565	0.264	0.966	0.855	0.605	0.318	0.695944538714392	0.0195494164286194	0.797933049325452	0.00248434505232949
EE	0.106	0.132	0.13	0.71	0.111	0.134	0.132	0.718	0.138127537273969	7.05141479190084e-28	0.226564158683302	1.0009936644128e-36
EE	0.447	0.495	0.547	0.937	0.405	0.449	0.508	0.934	0.600101049828399	0.000151736532894237	0.85503122507153	6.93875070772419e-05
EE	0.77	0.687	0.977	0.969	0.707	0.62	0.973	0.908	0.819277465227837	0.542638780725666	0.884849280274064	0.140957170408659
EE	0.517	0.746	0.655	0.753	0.578	0.774	0.693	0.753	0.556115617930928	2.48459413420492e-29	0.662184555718027	5.30931031019798e-12
EE	0.178	0.306	0.189	0.043	0.117	0.252	0.123	0.01	0.0968459726886272	2.3670053660927e-17	0.0784562963223315	4.88077175914123e-05
varDE	0.022	0.015	0.00600000000000001	0.0620000000000001	0.017	0.004	0.004	0.056	0.136132414278056	9.9751571874972e-68	0.00014872793441517	1.50864683391736e-34
EE	0.704	0.703	0.901	0.976	0.778	0.768	0.951	0.966	0.810113326164738	0.454916620581824	0.975884754573431	0.09366087558555
EE	0.745	0.924	0.772	0.718	0.75	0.905	0.757	0.727	0.434052503346277	0.00108081625982235	0.843077265287633	0.330016887381763
EE	0.81	0.662	0.922	0.72	0.763	0.568	0.914	0.707	0.74524595497682	0.195012258184268	0.748828957589083	0.0294539289312974
EE	0.76	0.712	0.917	0.38	0.786	0.752	0.925	0.315	0.642035461215577	0.24880142587092	0.863103097883557	0.218643417072815
EE	0.383	0.495	0.683	0.962	0.437	0.57	0.726	0.981	0.776710647501133	0.277913051196287	0.911652725982843	0.000369334365363043
EE	0.472	0.608	0.589	0.379	0.485	0.615	0.587	0.415	0.790842392126097	0.00378447542040195	0.616552134004222	0.437126647328139
meanDE	0.696	0.903	0.857	0.261	0.757	0.876	0.879	0.206	0.674017255400839	2.42843015684911e-39	0.896274377177352	1.31428385661688e-42
EE	0.574	0.681	0.835	0.382	0.554	0.675	0.81	0.458	0.585518838344398	0.000364282870246897	0.637507149935713	0.557286483362532
EE	0.408	0.29	0.563	0.148	0.401	0.291	0.552	0.163	0.729405678802195	0.0259608977682196	0.725823816031883	0.827842425659651
EE	0.031	0.081	0.02	0.027	0.022	0.066	0.02	0.017	0.0025610678124557	6.64540998082576e-93	0.00871153679161434	8.76938564009001e-106
EE	0.91	0.836	0.815	0.442	0.915	0.821	0.83	0.4	0.448983184492604	0.00806912792385039	0.491495476318999	0.0117848634898549
EE	0.038	0.041	0.046	0.222	0.043	0.052	0.053	0.254	0.0381249970075037	2.08863696482261e-17	0.04820536695354	2.93837796137731e-06
varDE	0.041	0.002	0.014	0.014	0.039	0.001	0.014	0.004	0.566916626153699	1.14076331317126e-32	0.0244481590475599	0.0361005015339046
meanDE	0.691	0.405	0.297	0.41	0.667	0.44	0.331	0.426	0.646141058546003	1.94320804955421e-107	0.447007537401475	3.49927960534271e-43
