geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer	ranksum_pval
EE	0.703	0.775	0.871	0.774	0.691	0.742	0.848	0.708	0.855687966583773	0.30076597531489	0.909513525174481	0.133094909298138
EE	0.558	0.787	0.421	0.224	0.55	0.773	0.43	0.207	0.762438470865375	2.56172387604855e-06	0.974874099966204	2.02172501859622e-10
EE	0.413	0.487	0.937	0.281	0.463	0.486	0.958	0.304	0.65841327166011	0.714275774387627	0.788308706951913	0.421126063168395
meanDE	0.006	0.002	0.002	0.013	0.006	0.007	0.004	0.01	0.000864566094957955	4.15098106765805e-20	0.000959699416059142	6.99957199173396e-23
varDE	0.279	0.403	0.554	0.308	0.26	0.4	0.541	0.269	0.642008211751826	9.0216032300753e-32	0.194232944325403	1.6869531938143e-52
varDE	0.015	0.014	0.002	0.025	0.016	0.007	0.001	0.021	0.42783733824076	1.3660015339779e-23	0.00020364062035958	3.29396881403734e-06
EE	0.939	0.896	0.775	0.738	0.935	0.899	0.765	0.75	0.345225585957221	0.075305412555816	0.500277463788643	0.0115804402007318
EE	0.631	0.917	0.448	0.576	0.584	0.909	0.406	0.58	0.759203795309782	0.0255821914688609	0.894850438528001	0.129675297455239
EE	0.371	0.466	0.354	0.778	0.321	0.439	0.341	0.761	0.478856177543051	0.128336168471132	0.803374942951246	0.00356063161696014
EE	0.418	0.311	0.592	0.523	0.331	0.232	0.528	0.528	0.90786254784911	0.952440111106127	0.74488968240793	0.0334831625886018
EE	0.935	0.952	0.949	0.446	0.939	0.955	0.949	0.463	0.927708533287904	0.562003620196003	0.825728488134994	0.135297211706146
EE	0.365	0.652	0.213	0.61	0.365	0.652	0.242	0.571	0.108437081286949	3.71190812249722e-11	0.058174251719158	1.61774202750012e-15
EE	0.131	0.072	0.125	0.227	0.134	0.075	0.136	0.186	0.201066514061407	0.0227357147042878	0.181858452491054	0.250270307296492
EE	0.446	0.488	0.78	0.838	0.454	0.43	0.785	0.856	0.807825827835527	3.61479923780708e-06	0.934782961913807	0.00100566904103946
EE	0.625	0.707	0.377	0.337	0.604	0.672	0.376	0.329	0.11555959328474	9.68250527600354e-09	0.0840696541478414	3.91514092969126e-08
meanDE	0.175	0.154	0.103	0.047	0.172	0.17	0.122	0.057	0.0339441057161783	2.8411576830377e-27	0.0299266763554872	1.06320198569274e-18
EE	0.816	0.707	0.594	0.601	0.816	0.722	0.608	0.645	0.964597587040428	3.84382099895429e-05	0.970961772071059	3.84404502831632e-09
varDE	0.184	0.122	0.052	0.147	0.165	0.12	0.071	0.163	0.562708540349013	2.05110772474221e-15	0.0135302736470771	2.03279024210301e-06
meanDE	0.014	0.01	0.018	0.036	0.01	0.008	0.008	0.053	0.00337910080009221	1.07027072873999e-35	0.000775591456242386	1.50759531476923e-24
EE	0.996	0.969	0.999	0.234	0.989	0.967	0.996	0.23	0.954465453545741	0.00475312285946715	0.863288788412736	0.674640957803379
EE	0.828	0.86	0.678	0.189	0.873	0.855	0.695	0.198	0.871200807921203	0.000163233198509772	0.96664936209913	0.000108723929914345
EE	0.305	0.332	0.276	0.152	0.306	0.338	0.285	0.156	0.238402442820783	0.0286270385009625	0.323070391988996	0.0226522197156403
EE	0.663	0.436	0.909	0.963	0.672	0.382	0.911	0.95	0.486530717752385	0.00260481763323301	0.693123935695431	0.03963237643202
EE	0.947	0.516	0.909	0.441	0.937	0.431	0.905	0.447	0.728614087463376	0.0703114631937043	0.479557021015497	0.0858816903908759
EE	0.222	0.165	0.259	0.139	0.227	0.176	0.271	0.16	0.675882833052203	0.648693372470837	0.708534519807735	0.623775561897044
EE	0.002	0.008	0.006	0.102	0.004	0.01	0.011	0.085	0.000155538176935672	4.37881696121941e-195	0.00046918235338872	9.1892875703379e-98
EE	0.517	0.552	0.644	0.845	0.504	0.522	0.645	0.838	0.889958346167586	0.441996009436721	0.668962681854616	0.45656624645851
varDE	0.313	0.101	0.136	0.005	0.313	0.125	0.174	0.009	0.643646737298554	1.4521771987701e-18	0.0068214497663915	0.000109282654306926
EE	0.657	0.75	0.779	0.775	0.703	0.765	0.793	0.782	0.642255825348708	0.84414977554113	0.850206031813627	0.420674987898131
EE	0.054	0.045	0.144	0.534	0.072	0.06	0.18	0.547	0.290610397165442	0.00960132742534033	0.106034783067871	0.0319493313836145
EE	0.139	0.147	0.315	0.708	0.162	0.152	0.324	0.685	0.256582490313317	0.00162173680375728	0.34151032115289	4.13634117445165e-05
EE	0.473	0.738	0.842	0.957	0.441	0.732	0.826	0.953	0.717702328888356	0.230955119591241	0.52729393046471	0.614920858804266
EE	0.388	0.677	0.655	0.852	0.328	0.678	0.674	0.869	0.15771883452319	0.0146259343663016	0.166513523999031	0.000285138797163205
EE	0.015	0.016	0.01	0.012	0.007	0.008	0.008	0.01	0.0223193170597279	6.8947268768357e-15	0.000494507233139275	3.32895633532504e-14
meanDE	0.733	0.84	0.925	0.52	0.767	0.857	0.923	0.496	0.361170798873729	1.19121435303276e-32	0.699012051489238	9.49876416232587e-11
EE	0.981	0.819	0.361	0.24	0.973	0.862	0.384	0.218	0.168206464265529	0.00157898431341972	0.106238808370783	0.000168158186672059
EE	0.167	0.11	0.146	0.159	0.135	0.105	0.111	0.17	0.474541590920719	0.191737926896684	0.372222503322871	0.381450055375688
EE	0.306	0.271	0.184	0.075	0.284	0.28	0.18	0.067	0.0673046412909183	2.99656613559055e-46	0.730713975720011	1.930974771676e-68
EE	0.684	0.63	0.562	0.232	0.686	0.6	0.61	0.236	0.755185520346692	0.0770115185738094	0.822315405064341	0.00967924633322414
EE	0.271	0.282	0.322	0.392	0.311	0.281	0.324	0.4	0.967769119058286	0.311754835046618	0.103688685501661	0.608114611422307
varDE	0.109	0.059	0.002	0.002	0.114	0.067	0.003	0.002	0.203825707130108	4.03211703270838e-23	0.110864547927815	1.07481112243844e-17
meanDE	0.84	0.89	0.866	0.859	0.866	0.879	0.854	0.86	0.735738337626377	2.68785325369989e-07	0.952777367281171	2.7135173369465e-05
meanDE	0.533	0.889	0.446	0.448	0.574	0.934	0.477	0.449	0.341859906608773	6.34244365459543e-06	0.171653688693423	7.64962617651922e-05
varDE	0.808	0.716	0.566	0.502	0.788	0.741	0.591	0.531	0.237132037149115	9.5432375212221e-10	0.512366016687941	2.63319390036152e-11
EE	0.774	0.952	0.735	0.931	0.763	0.962	0.715	0.931	0.357114845983246	0.0111126965668152	0.318520309427103	2.84506888714639e-05
EE	0.19	0.229	0.278	0.972	0.199	0.257	0.284	0.966	0.440818735687693	8.28261286968869e-05	0.733205918004171	1.30597438831235e-08
EE	0.308	0.184	0.15	0.029	0.343	0.203	0.161	0.035	0.482598913598499	3.15677767649743e-07	0.792621962383415	8.34531445784845e-12
EE	0.755	0.691	0.578	0.741	0.776	0.664	0.546	0.772	0.525450089009556	0.153057866588771	0.601936497638421	0.100684855779584
varDE	0.168	0.087	0.068	0.782	0.151	0.079	0.066	0.788	0.765890680746696	3.48169141659896e-27	1.14011497748808e-05	0.00845294640192026
meanDE	0.062	0.052	0.111	0.3	0.073	0.065	0.106	0.35	0.110501909028619	1.41931365304109e-11	0.0863433921124065	2.86300368052447e-10
EE	0.448	0.489	0.678	0.018	0.472	0.474	0.702	0.011	0.312509590037806	0.000423190034630519	0.373996752800349	0.000405548747004377
EE	0.115	0.089	0.14	0.413	0.117	0.084	0.132	0.41	0.0260754877788468	2.37746051036373e-39	0.128145587705397	9.18816402305043e-27
EE	0.301	0.342	0.35	0.353	0.296	0.358	0.355	0.346	0.147510352840295	0.560098750483841	0.190885739224689	0.422728426348718
EE	0.569	0.7	0.731	0.78	0.511	0.661	0.672	0.765	0.768845925700445	0.027404665801697	0.40138826542964	0.770898409246671
EE	0.949	0.71	0.917	0.825	0.951	0.704	0.908	0.837	0.901810386445744	0.19622852074633	0.972795583003574	0.201914647096838
EE	0.831	0.775	0.785	0.507	0.798	0.813	0.781	0.531	0.685904739735083	0.215982566291273	0.134333480789058	0.759995145210352
EE	0.922	0.991	0.832	0.049	0.923	0.982	0.819	0.056	0.8370885736621	0.947482630956241	0.932360525091515	0.958867840401602
EE	0.857	0.913	0.653	0.378	0.868	0.9	0.637	0.374	0.505598323418036	0.00270928412177433	0.43590332849895	0.0108262188571648
EE	0.306	0.281	0.27	0.303	0.34	0.29	0.286	0.336	0.848103492999073	0.541452317973184	0.301262288008775	0.956951867777329
EE	0.01	0.02	0.01	0.012	0.014	0.024	0.009	0.01	0.0079447284214001	2.07062799661194e-87	0.0370095582319726	5.67708803946172e-92
EE	0.689	0.562	0.83	0.707	0.692	0.602	0.838	0.698	0.77268549800271	0.0450639473280095	0.904370666267349	0.133659132518173
EE	0.024	0.014	0.02	0.055	0.015	0.011	0.027	0.054	0.00489589528602421	8.68451204567161e-30	0.00154800062492626	5.97368955197049e-22
EE	0.949	0.784	0.984	0.777	0.93	0.808	0.979	0.801	0.757608534920967	0.210336997588628	0.894193149812078	0.0313329217972441
EE	0.782	0.762	0.509	0.978	0.767	0.763	0.511	0.975	0.612559026860716	0.46855168317346	0.873847998244127	0.138998312608878
EE	0.646	0.59	0.631	0.847	0.605	0.543	0.6	0.847	0.615465263406658	0.0166987130074685	0.818922497851648	2.01041523627599e-07
EE	0.273	0.31	0.418	0.653	0.312	0.344	0.409	0.681	0.214075030966372	0.170014585387255	0.366688374760759	0.300290756815615
EE	0.451	0.511	0.4	0.632	0.428	0.466	0.379	0.609	0.289251877143537	0.000217364780904569	0.612196305623542	0.0396123365624083
EE	0.91	0.85	0.969	0.459	0.925	0.83	0.973	0.424	0.65781010754065	1.45290438358674e-05	0.816083507491303	0.000382657551122475
EE	0.811	0.689	0.65	0.574	0.812	0.664	0.648	0.549	0.759731712830629	5.09425108304445e-11	0.73777663311582	1.57610427104474e-14
EE	0.361	0.301	0.585	0.956	0.369	0.328	0.626	0.963	0.815172713157388	0.531589978975031	0.807384723351062	0.768626385268657
meanDE	0.086	0.05	0.051	0.18	0.087	0.062	0.062	0.186	0.101500190849553	0.0224851375726854	0.0818810121435972	0.171018424905211
EE	0.03	0.027	0.14	0.722	0.027	0.025	0.184	0.717	0.19713560351208	0.00562051494073023	0.52147822866844	0.00072227921224111
EE	0.127	0.224	0.175	0.539	0.144	0.232	0.197	0.563	0.115160032776577	1.57637769602409e-79	0.195576077453139	3.85676267939265e-44
EE	0.174	0.34	0.244	0.073	0.196	0.39	0.297	0.092	0.110248047997486	0.0168491866099855	0.165110156275187	0.00117580677989496
EE	0.767	0.898	0.848	0.99	0.758	0.888	0.846	0.981	0.775075638312443	0.483771307845022	0.646699630629612	0.757160109569922
EE	0.599	0.562	0.869	0.826	0.561	0.513	0.845	0.804	0.644379408277888	6.7370692949273e-06	0.558208052712188	0.356847170692485
meanDE	0.518	0.427	0.344	0.438	0.538	0.461	0.382	0.472	0.794196325220212	0.718939390934057	0.812954577946614	0.73779072759497
EE	0.851	0.987	0.62	0.729	0.855	0.993	0.603	0.705	0.852837033956252	0.581263488332859	0.757290788162731	0.773414094476421
EE	0.877	0.665	0.929	0.256	0.844	0.664	0.915	0.257	0.541747400418727	1.07972163697841e-08	0.287640411296528	1.14103714309996e-07
EE	0.958	0.697	0.999	0.652	0.969	0.707	0.998	0.644	0.997880059682217	0.565967500826645	0.563997578190805	0.126681909671723
EE	0.085	0.151	0.05	0.013	0.047	0.092	0.018	0.007	0.677135351548422	0.0701363191506885	0.708389698518695	0.013378221216638
EE	0.885	0.843	0.846	0.441	0.904	0.846	0.852	0.455	0.983132784684617	0.149771588451332	0.457710650582537	0.165551589071893
meanDE	0.075	0.114	0.072	0.196	0.095	0.126	0.091	0.214	0.0192021942085775	1.2520905845235e-57	0.00303590203018057	6.24642820723978e-43
EE	0.29	0.463	0.335	0.285	0.315	0.438	0.371	0.297	0.39664694688641	6.12271947842048e-07	0.619814760786509	2.10299243461847e-10
meanDE	0.254	0.263	0.205	0.17	0.3	0.313	0.269	0.181	0.222957815191227	5.69805295700595e-12	0.286688345989195	2.19042626917253e-11
EE	0.242	0.249	0.161	0.265	0.255	0.282	0.13	0.238	0.169706388049789	0.081951045714411	0.582208756170157	0.0118863779040575
EE	0.763	0.659	0.816	0.943	0.788	0.686	0.803	0.95	0.708923724002607	0.00972331292468738	0.778569884913224	9.98837012813426e-08
EE	0.293	0.159	0.471	0.578	0.255	0.174	0.45	0.582	0.409077820842576	6.17959643265826e-13	0.31158986200416	5.0667176832632e-08
varDE	0.516	0.256	0.316	0.105	0.507	0.29	0.34	0.091	0.782114774478896	2.61532109028997e-11	0.112225369956446	9.09392018913466e-06
EE	NA	NA	0.911	0.589	NA	NA	0.911	0.543	0.95649302150132	0.243508292247395	0.927238785596102	3.38914633189094e-07
EE	0.112	0.117	0.142	0.55	0.111	0.116	0.124	0.537	0.601955513435618	0.0366781599122237	0.166142688787681	0.906571083043519
EE	0.49	0.706	0.058	0.06	0.498	0.745	0.041	0.071	0.676038661564181	0.474414015276231	0.615854095664905	0.105191168909652
varDE	0.128	0.018	0.161	0.1	0.158	0.029	0.157	0.089	0.640498393643474	2.92569370578868e-14	2.60148359878884e-05	0.00017438700384569
varDE	0.357	0.212	0.185	0.115	0.304	0.175	0.156	0.099	0.341433122021056	6.51760980598613e-191	0.196982465828995	3.73900203623875e-171
EE	0.639	0.764	0.779	0.922	0.632	0.768	0.737	0.918	0.645722875803352	0.795898636054432	0.711615350977206	0.474564675889924
EE	0.776	0.831	0.941	0.984	0.801	0.827	0.943	0.991	0.924351289062451	0.00158471299918754	0.658485595781988	0.23472325833552
meanDE	0.881	0.802	0.93	0.869	0.874	0.755	0.934	0.853	0.663004243633913	0.133118431127217	0.816124470799568	0.00280646618996406
EE	0.221	0.343	0.484	0.444	0.202	0.293	0.465	0.459	0.709122268075048	0.0476066886338092	0.194113133528849	0.896162017641049
EE	0.468	0.617	0.776	0.677	0.408	0.564	0.738	0.64	0.485576902010688	1.82153297121107e-06	0.853399814465352	3.417326174534e-16
varDE	0.48	0.554	0.81	0.433	0.45	0.48	0.792	0.422	0.960395802749423	1.10002243616396e-06	0.0987658096084305	2.47081568390276e-05
EE	0.923	0.935	0.698	0.286	0.923	0.925	0.692	0.27	0.704803237588482	0.268490972739601	0.959230591279907	0.0196131747579998
EE	0.747	0.708	0.713	0.872	0.699	0.685	0.664	0.855	0.466468568324117	0.495718600739647	0.457043739599574	0.551721155423461
EE	0.898	0.954	0.7	0.441	0.888	0.955	0.719	0.427	0.672378112097602	0.765061047999927	0.524095428237415	0.63373869913861
EE	0.205	0.195	0.178	0.582	0.184	0.204	0.165	0.528	0.285722070503923	8.41993292386074e-05	0.441212246512126	3.93070901988228e-11
EE	0.538	0.785	0.488	0.8	0.561	0.795	0.499	0.843	0.511627377441112	2.54558916394215e-05	0.94731358964169	7.90612543127076e-10
EE	0.139	0.095	0.188	0.516	0.138	0.1	0.198	0.547	0.0441539989773025	3.97893566867265e-06	0.0213801673196027	0.000767778060223107
