geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer
EE	0.856	0.735	0.903	0.522	0.846	0.758	0.94	0.533	0.989289837461892	0.926424987745359	0.967166233613667
EE	0.751	0.944	0.832	0.61	0.726	0.93	0.794	0.551	0.82988652807905	0.0483660143671043	0.991025734553718
EE	0.304	0.198	0.711	0.967	0.272	0.169	0.71	0.975	0.546148781272046	0.0091076936320638	0.266303698461939
meanDE	0.001	0.003	0.001	0.027	0.001	0.002	0.001	0.015	0.000305065242634523	4.17234886127036e-42	0.000164823306629969
varDE	0.513	0.51	0.512	0.643	0.494	0.524	0.478	0.598	0.572363607049483	1.81630578338818e-32	0.0916893166300238
varDE	0.023	0.001	0.002	0.088	0.028	0.002	0.002	0.102	0.380541724957477	1.3215095010227e-61	6.44903322360023e-05
EE	0.796	0.631	0.969	0.549	0.793	0.629	0.953	0.578	0.89852740677802	0.661554610692053	0.843570304883906
EE	0.612	0.851	0.693	0.385	0.586	0.813	0.639	0.417	0.780217245141404	0.00103962957031553	0.827461182247828
EE	0.72	0.669	0.84	0.754	0.714	0.66	0.844	0.734	0.728525251789711	0.0374747192846164	0.785315122629657
EE	0.942	0.703	0.891	0.851	0.917	0.636	0.866	0.845	0.69036874234441	0.0442789293345699	0.757574409704053
EE	0.765	0.97	0.834	0.704	0.77	0.975	0.837	0.693	0.715196803929843	0.0333084815669254	0.705295639808079
EE	0.208	0.162	0.129	0.38	0.219	0.179	0.168	0.37	0.140705241834869	3.901857690387e-15	0.401431711383056
EE	0.156	0.137	0.154	0.154	0.171	0.143	0.158	0.158	0.155758143517814	2.82966095178496e-16	0.0964118843013275
EE	0.968	0.87	0.968	0.867	0.967	0.826	0.954	0.843	0.860257268193949	0.401414936396032	0.97912602355309
EE	0.034	0.022	0.047	0.069	0.032	0.027	0.043	0.099	0.034016872607402	2.77062800918283e-19	0.028046703888818
meanDE	0.085	0.091	0.062	0.03	0.104	0.081	0.067	0.044	0.0442874038454598	1.22446552509396e-47	0.0189529369327326
EE	0.616	0.599	0.767	0.93	0.626	0.618	0.795	0.92	0.886309299313128	0.353091391078982	0.973312137700698
varDE	0.094	0.058	0.028	0.09	0.089	0.057	0.031	0.094	0.47565880535824	1.23287015786268e-56	0.00985574778721124
meanDE	0.031	0.027	0.011	0.017	0.027	0.021	0.017	0.016	0.0086247606287802	1.42324166609112e-66	0.00470180131207702
EE	0.93	0.969	0.951	0.257	0.904	0.959	0.944	0.256	0.927101418122363	0.000308455404000793	0.889806472893441
