gene	DDcategory	Clusters.combined	Clusters.c1	Clusters.c2	nonzero.pvalue	nonzero.pvalue.adj	zero.pvalue	zero.pvalue.adj	combined.pvalue	combined.pvalue.adj
gene1	DB	1	1	2	2.41295809921827e-06	5.31196059266542e-06	0.95817138471194	0.969195989087814	3.23160988895386e-05	4.69041467156656e-05
gene2	DZ	1	1	1	1.62049277774301e-07	4.88652175723486e-07	1.66243525486899e-08	9.59558588668972e-08	9.30704398093962e-14	4.26439586755538e-13
gene3	NS	1	1	1	5.68530863238603e-05	9.06386390177127e-05	0.344343639505826	0.438933893570205	0.000231814279868293	0.000296390321071815
gene4	DE	1	1	1	1.62252088897752e-06	3.73315131199889e-06	1.88285789347235e-13	2.10081773330248e-12	1.33295778109255e-17	9.42852541886858e-17
gene5	DB	1	1	2	4.36672920045567e-12	3.91196344945636e-11	0.000118946711923055	0.000371418304209384	1.8799373895595e-14	9.36456981100625e-14
gene6	DE	1	1	1	1.07717168518207e-11	8.96708999110981e-11	0.00026449176744819	0.000771113024630292	9.82681810672616e-14	4.4896941664083e-13
gene7	DB	1	1	2	5.54894232751568e-06	1.12273557357188e-05	0.000252504143237922	0.000738667873139555	2.99645665853362e-08	6.76782983293872e-08
gene8	DB	1	1	2	0.00268657549304319	0.00310452173109136	0.00446700347277675	0.0100523284900743	0.000147977920939273	0.000194515834294148
gene9	NS	1	1	1	5.44217450864082e-05	8.72667790521679e-05	0.0166487651000695	0.0326526405492905	1.3513052434552e-05	2.07494087286787e-05
gene10	NS	1	1	1	1.08594259172756e-05	2.04798225691195e-05	0.394598080010631	0.490550577827387	5.7250613722135e-05	8.00707884225664e-05
gene11	DB	1	1	2	1.1062823619401e-05	2.08094495544811e-05	2.74612789921667e-11	2.28131081970232e-10	1.11585977244666e-14	5.69316210431971e-14
gene12	NS	1	1	1	2.16337866143501e-06	4.8330157194862e-06	0.264638305334661	0.355398093449268	8.80137228016999e-06	1.39124635924442e-05
gene13	DZ	1	1	1	7.56365784481128e-05	0.000117599379229736	0.00426116980838289	0.00964230409715342	5.13997502789811e-06	8.36108178592616e-06
gene14	DE	1	1	1	2.43138842392909e-14	3.25269354371785e-13	1.77742938502497e-08	1.02151114081895e-07	2.16916177817514e-20	1.92173800945749e-19
gene15	NS	1	1	1	1.73242098000514e-06	3.95642815873285e-06	0.0305756649964852	0.0556807011090101	9.40403738877672e-07	1.70633474960793e-06
gene16	DB	1	1	2	1.58539847916472e-13	1.8734398572109e-12	1.67919517514969e-19	3.4356934529917e-18	1.96213170140128e-30	2.79804877205174e-29
gene17	NS	1	1	1	0.0018463758433982	0.00218538345127764	0.568060215599799	0.654730114507764	0.00824404317623632	0.00885741947487114
gene18	DZ	1	1	1	6.0199904213798e-06	1.21004832590549e-05	1.8553577549087e-23	5.64367377918996e-22	7.30041414049511e-27	9.15412431410045e-26
gene19	NS	1	1	1	2.30815162806097e-05	4.04229707191064e-05	0.404682776066658	0.500845019884477	0.000117516463359085	0.000156479977841658
gene20	DB	1	1	2	6.63081192973092e-05	0.000104381140176795	0.727560095939118	0.790289309913502	0.000527744119191875	0.000644474576940162
gene21	DB	1	1	3	0.000182065659979025	0.000259491409198681	0.241614281349003	0.329174770230249	0.000485274431639682	0.000595520087914934
gene22	DB	1	1	2	1.65241512035674e-05	2.98123245758248e-05	0.0116378838334193	0.0238054386774109	3.16616256423292e-06	5.3101258938917e-06
gene23	DB	1	1	2	3.27959881474271e-13	3.66948119132052e-12	1.2319565226032e-16	1.9249320665675e-15	2.68191168148894e-27	3.44940409194719e-26
gene24	DZ	1	1	1	0.0162660813817561	0.0171199383047032	0.00780047692909176	0.0166144343537631	0.00126531010968665	0.00147050261126955
gene25	NS	1	1	1	7.38777812259173e-06	1.45178641564072e-05	0.337960749746468	0.432720292213162	3.47064995315268e-05	5.01086439726068e-05
gene26	DB	1	2	1	4.47102452838521e-08	1.56740561906581e-07	0.0918186639173068	0.145628332937838	8.338143949608e-08	1.77360147824685e-07
gene27	DB	1	1	2	0.000105838826344185	0.000159215985474516	0.43315711183881	0.529046854154272	0.000503846160226585	0.000616891533794411
gene28	DE	1	1	1	1.73591017116337e-08	6.71531981107686e-08	1.10632830101893e-19	2.30485062712278e-18	1.20063478151794e-25	1.42720330641063e-24
gene29	NS	1	1	1	3.03259109877274e-05	5.14434452718022e-05	0.502699723018459	0.592981094684115	0.000184329324920424	0.000238691259204175
gene30	DB	1	1	2	4.46155007919335e-05	7.30055238976209e-05	0.838341635911818	0.876238971425992	0.000418680517316102	0.00051784850626605
gene31	DB	1	1	2	0.00267668803708132	0.00309354294953056	0.668087932531693	0.739853745882274	0.0131017275371531	0.0138659203314811
gene32	NS	1	1	1	0.0221364711571607	0.0230292163209663	0.401920572616977	0.498119997046602	0.0509094871425912	0.0520746576065375
gene33	DB	1	1	2	3.88025280351201e-07	1.04978094109219e-06	0.042334400730903	0.0741408068842434	3.10866857811777e-07	6.05683113125721e-07
gene34	NS	1	1	1	0.0103172095964472	0.0110536596721009	0.0219438972306733	0.0416660625646861	0.0021266203257311	0.00241352852969908
gene35	DE	1	1	1	1.19528680220249e-06	2.85016227052754e-06	1.84051537897997e-14	2.28635450804965e-13	1.01776591467088e-18	8.02180031267688e-18
gene36	DB	1	1	2	5.89609472356756e-11	4.07681571206054e-10	0.702351084022068	0.768541741509581	1.03145024796728e-09	2.83950515613841e-09
gene37	DB	1	1	2	3.38777333166451e-05	5.69135538115396e-05	0.808153081799831	0.854736204970736	0.000315009138009496	0.000396113345500781
gene38	DB	1	3	1	1.3988810110277e-14	1.94289029309402e-13	1.90676439424777e-28	9.53382197123887e-27	2.58004774303715e-40	4.41978200092017e-39
gene39	NS	1	1	1	0.00571999272864121	0.00630041881166593	0.0576746431091515	0.0970749305434909	0.00297460454047438	0.00333195692016173
gene40	DB	1	1	2	3.52276198312129e-06	7.46347877779935e-06	0.000112894806991886	0.000353486675512756	9.00607822965681e-09	2.17472459514804e-08
gene41	DE	1	1	1	2.06883810083269e-09	9.95830614119226e-09	6.57793985029113e-08	3.48039145518049e-07	5.10778295453764e-15	2.72415090908674e-14
gene42	DZ	1	1	1	9.28649742115706e-05	0.00014156246068837	6.47939672007456e-16	9.32287297852455e-15	2.72316036566548e-18	2.05521537031357e-17
gene43	DZ	1	1	1	2.65754529493734e-10	1.57952172061654e-09	1.22029615561279e-07	6.13985487100774e-07	1.2637114097286e-15	7.23671530266912e-15
gene44	NS	1	1	1	0.000635990856916901	0.000814459237287532	0.439151250293893	0.535060920248423	0.00256484322692464	0.00288671156660061
gene45	DB	1	1	2	5.18458850073955e-07	1.35500516190514e-06	0.000448368804928403	0.00125198968217355	5.38897533501225e-09	1.34430317056745e-08
gene46	DE	1	1	1	0.00391595289453917	0.00442043504392738	0.293033426315737	0.385439837773943	0.00891630412147662	0.0095476419450961
gene47	DB	1	1	2	4.75390153464872e-07	1.25350073425147e-06	0.737756643536194	0.798221956760827	5.56360209137446e-06	9.02632665402468e-06
gene48	DB	1	1	2	0.000747310447518523	0.000943276046094696	1.64853168614628e-11	1.41353199240838e-10	4.06888221039093e-13	1.71773391467691e-12
gene49	DE	1	1	1	5.01310569229751e-05	8.09708167542502e-05	7.31731627450744e-17	1.17077060392119e-15	1.76276089903292e-19	1.46439119338145e-18
gene50	NS	1	1	1	0.000573937616846987	0.000740923178114554	0.604128351093671	0.685558252569836	0.00310913131289469	0.0034758315404077
gene51	DB	1	1	2	6.05176797563445e-10	3.33201265003961e-09	0.115074589203217	0.176596338696669	1.69836919891705e-09	4.51994464116314e-09
gene52	DB	1	1	2	4.44763987861307e-07	1.18327632287677e-06	0.00139398422886222	0.00350577611785532	1.37646794820965e-08	3.25117909231687e-08
gene53	NS	1	1	1	1.90999961069416e-07	5.64253947029293e-07	0.730512293750214	0.792742586815208	2.34197470864651e-06	3.99569154812797e-06
gene54	DE	1	1	1	5.4904313129267e-07	1.4246983620958e-06	2.40116259777457e-15	3.24481432131699e-14	6.47014646446922e-20	5.57170847317048e-19
gene55	DE	1	1	1	0.000582781882536243	0.000751249606878818	0.922513111698452	0.941580108903753	0.00458504570345142	0.00503436256212069
gene56	DB	1	1	2	9.65894031423886e-15	1.38728047601276e-13	0.103980264728158	0.162187248309272	3.56886366466463e-14	1.71356636051792e-13
gene57	NS	1	1	2	0.0255156460676289	0.0264292433082987	0.451730658348238	0.54598055095723	0.0629691568732342	0.0641397065171726
gene58	DB	1	2	1	1.05080214998221e-05	1.98921372452856e-05	0.480623204917046	0.573108606250763	6.66452835673739e-05	9.22585687037534e-05
gene59	DB	1	1	2	0.000362481214934096	0.000485282289183938	0.000976271442222055	0.00253741765359858	5.61052337112885e-06	9.09507334732133e-06
gene60	NS	1	1	1	0.0341685223052717	0.0351031435009854	0.332970318769381	0.428188804075719	0.0623027539105602	0.0634770798884974
gene61	DB	1	1	2	6.5881536545076e-06	1.31140157342774e-05	0.000162611865519955	0.000493885696340031	2.31985981373582e-08	5.31620696358824e-08
gene62	NS	1	1	1	3.76044603234149e-08	1.34421663354477e-07	0.396336767177857	0.492343810158829	2.83499010882224e-07	5.56254919473367e-07
gene63	NS	1	1	1	1.872724134655e-06	4.24653998787982e-06	0.517593494278604	0.607161672319128	1.43910343356073e-05	2.20172642350083e-05
gene64	DB	1	1	2	1.22410235703363e-06	2.9110638692833e-06	0.619964991623037	0.699142928247011	1.14528688490674e-05	1.77874103654706e-05
gene65	NS	1	1	1	0.00120989850870357	0.00147211985849864	0.165535161797448	0.240559726499471	0.00190582960411204	0.00217436349584945
gene66	DB	1	1	2	5.91777753391476e-05	9.39702665171061e-05	0.618137147599204	0.697376559130395	0.000410281414554529	0.000508167102715007
gene67	DE	1	1	1	2.49248399697422e-11	1.89182846070149e-10	0.000138012254108925	0.000424489824248903	1.18001149188694e-13	5.35152604030359e-13
gene68	DB	1	1	2	7.761077791546e-08	2.54984075286932e-07	1.19111535373269e-10	9.19780195932582e-10	3.71830610001336e-16	2.25693845220841e-15
gene69	DB	1	1	2	0.00032886751085659	0.000443516535207808	4.77732318030063e-05	0.000161663865088136	2.98021609190297e-07	5.83212542446765e-07
gene70	DZ	1	1	1	2.26433054939523e-06	5.03044831856758e-06	0.00866484264440489	0.0182417739882208	3.6781178052898e-07	7.08181526890937e-07
gene71	DZ	1	1	1	2.43627751750353e-07	7.00583038822006e-07	0.000184550700327763	0.000554831117107141	1.11618298671199e-09	3.05908321126957e-09
gene72	DZ	1	1	1	1.35458155803292e-09	6.87168830961532e-09	0.00578011436922358	0.0126444941082277	2.08057748667294e-10	6.31434745576006e-10
gene73	NS	1	1	1	1.80762808588142e-06	4.11291942180072e-06	0.706154916370765	0.772175961039655	1.85999087894983e-05	2.80277397468425e-05
gene74	NS	1	3	3	2.32368146069195e-06	5.14515684625951e-06	0.194988095617444	0.275504197269437	7.07145820107748e-06	1.13188606659904e-05
gene75	DB	3	2	3	5.08679217747776e-07	1.33118539155453e-06	0.00487401967629803	0.010849236897714	5.16075954551167e-08	1.12926904715792e-07
gene76	NS	1	1	1	0.000505349348956963	0.000658394746269329	0.839368264709951	0.876968279702183	0.00371804230156748	0.00411743333506919
gene77	DZ	1	1	2	0.0286953574103717	0.0295980994433952	2.95014310489328e-09	1.8987244440182e-08	2.04802027696097e-09	5.40196578163131e-09
gene78	NS	1	1	1	0.00082606309671851	0.00103532896345732	0.746531594820531	0.805537194303243	0.00517467700628254	0.00565152437546216
gene79	DB	1	1	2	0.000180062012578031	0.000256910308654226	1.41745416070004e-09	9.52910360134483e-09	7.65602492060726e-12	2.79799905732563e-11
gene80	DB	1	1	2	1.33397226043108e-06	3.14430703696189e-06	1.77305923406073e-12	1.7404262420228e-11	9.83589048336372e-17	6.3817618707956e-16
gene81	DB	1	1	2	0.000630643889567795	0.000808129283444235	0.181471237583107	0.259098519191673	0.00115306945500045	0.00134715597402639
gene82	DB	1	1	2	1.13347259520502e-05	2.12509509295528e-05	0.693544976998413	0.760883134392115	0.000100257695863611	0.000134822922660765
gene83	DE	1	1	1	0	0	7.09588285274777e-22	1.80786824273828e-20	0	0
gene84	DE	1	1	1	8.77520278663724e-13	8.95306475807273e-12	1.17260010241466e-06	5.04887019338929e-06	4.36472515082441e-17	2.94416536311933e-16
gene85	DB	1	1	2	1.97296168291672e-09	9.54851389191394e-09	6.24287455989021e-22	1.60588413116147e-20	8.6057512724315e-29	1.1649071096354e-27
gene86	NS	1	1	1	0.00644347768903186	0.00705361542313285	0.814632967225243	0.859484363556304	0.0328051322526004	0.0338721035132683
gene87	DB	2	2	1	0.000686104080170891	0.000871935288541243	0.729221761787903	0.791664282033278	0.00430289881515987	0.0047382230586757
gene88	DE	1	1	1	0.000146824463097328	0.000214029829587942	0.252169093882573	0.340941820358388	0.000414820869202049	0.000513233367401236
gene89	DZ	1	1	1	1.22564782700785e-06	2.91387299140053e-06	1.07032689113579e-07	5.47481785747209e-07	4.02239818337798e-12	1.51788610693509e-11
gene90	DB	1	1	2	0.00241552205304529	0.00280915488070393	1.84572687338836e-22	5.05678595448865e-21	2.54439824626049e-23	2.67479447701497e-22
gene91	DB	1	1	3	0.00355783755202532	0.00403840811807642	0.00323372925268099	0.00748115500909425	0.000142349193365097	0.000187579236850729
gene92	NS	1	1	1	3.73338936654477e-07	1.01656094335973e-06	0.825498596400485	0.866756662927911	4.92875530470638e-06	8.03383097751651e-06
gene93	DB	1	1	2	2.01183514292325e-12	1.92992437911339e-11	3.3983826414887e-06	1.37100661280432e-05	2.77063268603912e-16	1.71556203469914e-15
gene94	DE	1	1	1	0	0	1.26641193314408e-61	3.61831980898308e-59	0	0
gene95	DB	1	1	2	1.51646862185384e-05	2.76041991458833e-05	0.256854687105471	0.34639876885431	5.24119105774868e-05	7.3702809741588e-05
gene96	DB	1	1	2	2.46684053020196e-05	4.29295719852419e-05	5.37209028119767e-13	5.61053815268686e-12	5.28259801100605e-16	3.1608664239378e-15
gene97	DZ	1	1	1	3.17977879582543e-08	1.15997402492492e-07	0.000130174833353315	0.000403799405516293	1.12631659084715e-10	3.55725729442448e-10
gene98	DB	1	1	2	5.57945601364906e-06	1.12830253056604e-05	0.199730299679483	0.281112314819822	1.63895113343948e-05	2.48844355048697e-05
gene99	DZ	1	1	1	2.15748835685758e-07	6.29684595575043e-07	8.96499421110797e-05	0.000286078794131886	4.96481620591308e-10	1.4338819367258e-09
gene100	DE	2	1	1	0.000359435186080836	0.000481816603325518	2.87352633913711e-06	1.17286789352535e-05	2.24034184237974e-08	5.14429814553327e-08
gene101	NS	1	1	1	1.05119636717443e-06	2.54372986612083e-06	0.0125700154495619	0.0254196470163031	2.52934161275053e-07	5.00735780796937e-07
gene102	DB	1	1	2	4.72139413454364e-06	9.69236671191921e-06	0.632314246008408	0.709270045999337	4.09650532207534e-05	5.84901705811221e-05
gene103	NS	1	1	2	0.032364905248812	0.0332843864237686	0.221253473274648	0.306590597405999	0.0425291832744221	0.0436476544189066
gene104	DE	1	1	1	4.73358019448256e-10	2.66680574337045e-09	2.68917499771906e-09	1.74197570702449e-08	5.3724795564426e-17	3.59663903360174e-16
gene105	DB	1	1	2	1.19607581641201e-05	2.23096445122315e-05	0.839692399724455	0.877077842772639	0.000125628335050968	0.000166698736176437
gene106	DZ	1	1	1	0.000230714134443422	0.000321272946135313	0.0069025928390029	0.0148522707670853	2.28530457091576e-05	3.39346696714866e-05
gene107	DE	1	1	1	0	0	0.000157924841138651	0.000480745330711265	0	0
gene108	DB	1	1	2	0.00184153308422708	0.00217997405649846	0.936812369702039	0.953619920806249	0.0127014490031692	0.0134602718274412
gene109	DB	1	1	2	4.9367525344346e-06	1.00852962909798e-05	0.117828977222305	0.180201073939675	8.9332401484318e-06	1.41069722043929e-05
gene110	DB	1	1	2	1.69301328512006e-09	8.30926765703097e-09	2.03687318997003e-07	9.80444375436836e-07	1.26225241067045e-14	6.41551415842669e-14
gene111	DB	1	1	2	1.73467678341588e-05	3.11852006007349e-05	3.61219543868918e-07	1.66173453188692e-06	1.67902784800834e-10	5.18418478736655e-10
gene112	DZ	1	1	1	2.7138176694752e-07	7.72892180697815e-07	5.83199206694667e-08	3.12497900439206e-07	5.18761341671599e-13	2.16375950645088e-12
gene113	DB	1	1	2	3.02884245650947e-05	5.14016539076703e-05	0.06229076559185	0.103709911495276	2.67545484356026e-05	3.93449241700039e-05
gene114	NS	1	1	1	0.0378572509209713	0.0388329282430786	0.342138887213355	0.436749816133213	0.0692498360420445	0.0704295306809504
gene115	DB	1	1	3	2.93222431457796e-06	6.32626605086938e-06	0.242047506796903	0.329540512997826	1.07584652911437e-05	1.67838772092726e-05
gene116	DZ	1	1	1	7.84847742352213e-11	5.3030252861636e-10	5.30812170689638e-17	8.64867080553382e-16	2.57224766593932e-25	2.99533934898319e-24
gene117	DB	2	3	1	0.00010545913109139	0.000158734345951292	2.37181558325015e-14	2.87929054112309e-13	1.03878133474593e-16	6.71544791987076e-16
gene118	DZ	1	1	1	3.68859087995776e-06	7.75728891684073e-06	0.0121117597072629	0.0246361753516661	8.00753601972317e-07	1.46893575229959e-06
gene119	NS	1	1	1	0.0209776995942738	0.0218660060917511	0.336595193807285	0.431809100458352	0.0420352880825709	0.0431573799615718
gene120	NS	1	1	1	0.00308297330326268	0.00352995368915149	0.025585594054386	0.0476565197753406	0.000824102533038628	0.000981074444093605
gene121	DB	1	1	2	2.88069568199489e-12	2.67349947284909e-11	0.0402731582096811	0.0711539897697546	3.57151982681035e-12	1.35928442504676e-11
gene122	DE	1	1	1	1.88717375060321e-10	1.16492206827359e-09	3.03747900992492e-09	1.95336270734722e-08	2.46504023828875e-17	1.70149455619586e-16
