geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer	ranksum_pval
EE	0.198	0.258	0.242	0.58	0.211	0.241	0.226	0.833	0.166402857158583	3.95771870441005e-06	0.272619925059844	9.83421661384517e-16
EE	0.388	0.46	0.435	0.632	0.174	0.224	0.198	0.721	0.16539283864605	0.00522213354032772	0.197063246188947	0.734406105104161
EE	0.951	0.998	0.994	0.894	0.796	0.893	1	0.982	0.991914939833018	0.154496514503602	0.418742581674661	0.0507587078995284
meanDE	0.471	0.396	0.588	0.653	0.533	0.61	0.694	0.705	0.433949189707333	2.51746598920501e-06	0.01967235065312	1.01609863605384e-05
varDE	0.125	0.122	0.056	0.104	0.067	0.051	0.072	0.151	0.00392118575041474	3.55160613913356e-12	0.000591951198401485	0.79643122322813
varDE	0.504	0.223	0.442	0.622	0.613	0.124	0.501	0.546	0.639834776575901	1.34666326587117e-06	0.00055095376869455	0.333161150528609
EE	0.482	0.557	0.489	0.261	0.26	0.407	0.326	0.258	0.885326466195775	0.327048561750056	0.464883576571335	0.181778619248375
EE	0.463	0.369	0.514	0.108	0.826	0.907	0.984	0.418	0.692981682511998	0.576541797258247	0.942272272428042	0.18238960499408
EE	0.804	0.773	0.554	0.523	0.535	0.731	0.333	0.449	0.816844055481801	0.623704431702397	0.611641670502072	0.139171178777922
EE	0.95	0.834	0.925	0.931	0.612	0.533	0.79	0.825	0.685815913599037	0.655764316238829	0.973865848742121	2.4157887820068e-05
EE	0.938	0.886	0.863	0.931	0.623	0.44	0.526	0.433	0.607938229682927	0.0649980019442541	0.68579645239509	0.658749848723409
EE	0.692	0.863	0.783	0.83	0.817	0.923	0.829	0.933	0.925246118505155	0.504949448045571	0.32588534286618	1.80562988924808e-06
EE	0.65	0.799	0.486	0.447	0.847	0.967	0.601	0.528	0.470581105626467	2.4898501937086e-05	0.173089270771027	3.44538727268461e-25
EE	0.947	0.905	0.987	0.933	0.928	0.927	0.911	0.895	0.678879600889203	0.0036572904796612	0.342222770536932	0.00594804634191761
EE	0.864	0.96	0.622	0.311	0.974	0.905	0.808	0.371	0.535178484935437	0.337725404646481	0.510735789043581	0.842295350783272
meanDE	0.55	0.585	0.538	0.338	0.719	0.743	0.631	0.327	0.452209056810389	0.00673157645696442	0.65797377165583	0.00540681544379167
EE	0.769	0.849	0.852	0.83	0.662	0.734	0.698	0.963	0.705003618008318	0.0287510719057465	0.251455677787634	0.234177839400029
varDE	0.371	0.367	0.596	0.38	0.464	0.41	0.767	0.434	0.630348316127228	5.56674417170711e-08	0.144876156476627	0.000106558801440021
meanDE	0.242	0.184	0.263	0.095	0.43	0.326	0.437	0.146	0.130839477147008	2.02301607250176e-14	0.376606572513383	1.2377840992271e-06
EE	0.587	0.55	0.813	0.761	0.639	0.56	0.713	0.711	0.573691638095465	0.0513624083553112	0.946166033590374	0.00381397243623
EE	0.807	0.953	0.879	0.385	0.917	0.995	0.739	0.257	0.747040754902707	0.0285347916897932	0.209353438049475	0.000228316822481901
EE	0.679	0.49	0.467	0.902	0.302	0.306	0.129	0.776	0.215377011533286	1.63945641643473e-05	0.0516509403987544	7.35602996632068e-08
EE	0.126	0.111	0.147	0.443	0.16	0.124	0.165	0.489	0.109983577116417	8.63726801864474e-07	0.401665036807337	0.626740056497102
