geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer
EE	0.876	0.687	0.978	0.661	0.86	0.672	0.961	0.612	0.955093443582513	0.718509242044446	0.92171055819001
EE	NA	NA	0.707	0.697	NA	NA	0.731	0.671	0.843015560769232	0.399279262630899	0.812503489449776
EE	0.87	0.588	0.979	0.875	0.873	0.571	0.977	0.846	0.994126952857107	0.322320682204769	0.415906476190061
meanDE	0.016	0.017	0.007	0.205	0.015	0.016	0.004	0.197	0.00124815715826172	1.69667581069947e-12	0.0257564594042973
varDE	0.554	0.603	0.51	0.524	0.53	0.595	0.517	0.503	0.614189233486654	1.96258197002414e-10	0.145911074815757
varDE	0.009	0.002	0.004	0.043	0.004	0.001	0.002	0.052	0.547692842793292	7.51402730634268e-21	1
EE	0.403	0.687	0.634	0.076	0.443	0.715	0.651	0.101	0.746226041506014	0.932053137553938	0.876213791294072
EE	0.806	0.747	0.69	0.489	0.766	0.705	0.68	0.504	0.837181427624949	0.164044648618474	0.803860390527828
EE	0.377	0.483	0.37	0.813	0.38	0.477	0.375	0.835	0.643493494025623	0.0605682778273428	0.809852408387824
EE	0.785	0.583	0.728	0.145	0.753	0.545	0.709	0.163	0.610706727637853	0.0507126037270261	0.920883498808659
EE	0.86	0.911	0.806	0.755	0.819	0.918	0.813	0.704	0.834198854442973	0.616668802880055	0.873111946539792
EE	0.066	0.058	0.057	0.122	0.089	0.056	0.069	0.116	0.0689646617261059	4.63895386988851e-08	0.0516230943596558
EE	0.057	0.024	0.044	0.035	0.063	0.051	0.056	0.038	0.0853158652698551	5.54598918188328e-09	0.0290894185344875
EE	0.813	0.73	0.999	0.792	0.801	0.729	0.998	0.785	0.772429302429027	0.360169345265177	0.940799550609811
EE	0.233	0.255	0.202	0.54	0.213	0.238	0.222	0.598	0.135242836595789	2.56085593300348e-05	0.110195875856146
meanDE	0.1	0.085	0.052	0.077	0.114	0.091	0.071	0.097	0.0344084727768271	6.74696012786664e-20	0.0986057923498137
EE	0.772	0.708	0.946	0.891	0.745	0.732	0.958	0.921	0.873171661750932	0.953355727458834	0.886380176165599
varDE	0.163	0.139	0.068	0.256	0.166	0.127	0.064	0.241	0.42780480347754	3.72628680149623e-23	0.00715055461413663
meanDE	0.076	0.071	0.017	0.066	0.088	0.079	0.033	0.065	0.00815557130320232	1.77758980117284e-25	0.0223220998701851
EE	0.892	0.995	0.963	0.933	0.858	0.998	0.966	0.929	0.993853768567132	0.0303476356967287	0.911712792702877
EE	0.657	0.665	0.813	0.367	0.686	0.691	0.809	0.379	0.845117040290669	0.709794115009475	0.655864537078494
EE	0.458	0.521	0.601	0.159	0.427	0.509	0.572	0.171	0.438731927152284	0.133076571683794	0.21474109853841
EE	0.993	0.968	0.89	0.972	0.995	0.973	0.853	0.971	0.632151683539144	0.494453423520762	0.931422183933938
EE	0.498	0.565	0.541	0.103	0.484	0.547	0.494	0.108	0.481394730961571	0.00111204836339074	0.187242490979032
EE	0.248	0.214	0.252	0.492	0.25	0.228	0.248	0.465	0.478106069653982	0.0415212245312119	0.640564376341349
EE	0.007	0.005	0.013	0.14	0.006	0.014	0.014	0.123	0.000230191514147157	1.62632401903656e-245	0.000620654970687585
EE	0.649	0.628	0.511	0.911	0.621	0.612	0.53	0.901	0.441030198870123	0.00513443225935864	0.601513466711358
varDE	0.296	0.108	0.228	0.008	0.335	0.136	0.278	0.018	0.685984265792497	2.6079376762002e-20	0.00703048267462228
EE	0.984	0.829	0.853	0.422	0.983	0.827	0.88	0.444	0.668406080617476	0.744724896547726	0.868176032283058
EE	0.103	0.079	0.257	0.34	0.127	0.088	0.27	0.358	0.262545718569941	7.83677174548062e-05	0.0950105798788267
EE	0.376	0.455	0.738	0.26	0.376	0.459	0.751	0.249	0.444285445900171	0.00911421512468517	0.491859914682507
EE	0.374	0.276	0.877	0.831	0.371	0.263	0.859	0.791	0.964287599776654	0.883813520567351	0.919088343410796
EE	0.491	0.935	0.627	0.458	0.458	0.927	0.609	0.377	0.262060430714422	0.0269789503822193	0.94984206505128
EE	0.017	0.017	0.012	0.017	0.013	0.019	0.009	0.014	0.0224388628924798	2.3132731549361e-15	0.0392965416967178
meanDE	0.682	0.781	0.744	0.648	0.702	0.794	0.759	0.629	0.322826045878178	1.40224167686738e-18	0.710569391798086
EE	0.385	0.304	0.234	0.057	0.411	0.317	0.263	0.058	0.157007568893343	4.45230806342343e-05	0.944936160565529
EE	0.088	0.133	0.154	0.501	0.101	0.125	0.146	0.557	0.496432810936052	0.346575815049522	0.348219750355206
EE	0.228	0.129	0.212	0.196	0.178	0.103	0.157	0.113	0.0635867220125135	2.62215623156151e-14	0.243053140226823
EE	0.698	0.729	0.426	0.089	0.702	0.758	0.431	0.087	0.793925142573995	0.965365177447498	0.863833214044389
EE	0.533	0.323	0.166	0.349	0.55	0.321	0.177	0.316	0.476043286738809	0.00205597015939143	0.193082197458329
varDE	0.002	0.001	0.001	0.001	0.007	0.001	0.001	0.001	0.176572597969495	4.51840964427995e-24	1.73201752668403e-07
meanDE	0.862	0.889	0.988	0.901	0.85	0.881	0.989	0.917	0.716382671065352	1.9789648434648e-09	0.946264436126712
meanDE	0.833	0.795	0.363	0.119	0.83	0.813	0.37	0.102	0.459334167980689	0.00328677884017748	0.306456538005739
varDE	0.689	0.663	0.498	0.616	0.701	0.64	0.535	0.604	0.191667279381508	4.29481571765067e-15	0.526380239314107
