geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer
EE	0.291	0.335	0.324	0.692	0.171	0.247	0.175	0.955	0.116671504125559	1.56885400232173e-16	0.107686973986816
EE	0.522	0.651	0.617	0.226	0.45	0.587	0.569	0.26	0.465140500686203	0.00121828028337286	0.379835716389774
EE	0.711	0.886	0.934	0.55	0.627	0.843	0.856	0.573	0.70819909899066	0.00132035436086666	0.420558827795019
meanDE	0.217	0.145	0.272	0.324	0.22	0.178	0.215	0.346	0.308204507648414	1.82872452749085e-19	0.0131806620270542
varDE	0.08	0.094	0.067	0.464	0.073	0.058	0.081	0.452	0.00231322547196744	8.80817036962878e-39	0.000494356967482467
varDE	0.492	0.324	0.598	0.616	0.46	0.193	0.515	0.308	0.660691605114826	2.11022186926543e-19	9.81397492689652e-06
EE	0.656	0.561	0.966	0.936	0.299	0.194	0.729	0.794	0.766106462431728	0.00256010335685928	1
EE	0.56	0.559	0.501	0.54	0.957	0.889	0.945	0.83	0.625609847460788	0.0223501718838824	0.907736549163047
EE	0.894	0.931	0.829	0.857	0.761	0.914	0.852	0.891	0.765614975167374	0.0594727793704835	0.457606221891967
EE	0.739	0.694	0.687	0.863	0.755	0.702	0.793	0.541	0.694373683365341	0.546913526707873	0.754382487597473
EE	0.774	0.871	0.833	0.509	0.953	0.758	0.943	0.343	0.694573616416683	0.0122599965658735	0.738933724282578
EE	0.972	0.973	0.79	0.415	0.895	0.893	0.691	0.392	0.824225533890192	0.0298271218243946	0.137224165455039
EE	0.535	0.525	0.436	0.571	0.579	0.631	0.521	0.743	0.455039137818327	4.9293673277348e-15	0.206290596310382
EE	0.876	0.86	0.869	0.963	0.679	0.654	0.686	0.76	0.640136913384418	1.64524833438456e-09	0.451749933419958
EE	0.646	0.592	0.456	0.525	0.629	0.552	0.591	0.635	0.607254428176999	1.808732000736e-05	0.0122767728264189
meanDE	0.501	0.491	0.478	0.316	0.612	0.57	0.541	0.375	0.491624141978209	0.000301202298014907	0.720073951892453
EE	0.924	0.8	0.876	0.603	0.722	0.964	0.701	0.664	0.58690227326841	4.73689540450722e-09	0.236088755040571
varDE	0.421	0.44	0.663	0.355	0.56	0.478	0.832	0.228	0.660346476268516	5.60145776166076e-26	0.238048994343631
