geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer
EE	0.387	0.347	0.564	0.663	0.394	0.326	0.539	0.559	0.77571246394083	0.835110019497547	0.994321868779514
EE	0.982	0.803	0.84	0.713	0.991	0.796	0.838	0.729	0.692907269337392	0.664042462662392	0.91111864828724
EE	0.331	0.329	0.227	0.916	0.322	0.334	0.248	0.903	0.132310194834169	0.0982018111011048	0.165770181330542
meanDE	0.924	0.859	0.518	0.149	0.928	0.861	0.539	0.143	0.0820710509424779	0.131074463101259	0.158498377175032
varDE	0.773	0.856	0.853	0.788	0.759	0.85	0.837	0.776	0.789573433645405	0.137615427015401	0.396485404515445
varDE	0.25	0.489	0.032	0.023	0.257	0.484	0.037	0.027	0.399804111539594	0.00792041454908696	0.0259375591698589
EE	0.798	0.698	0.825	0.593	0.784	0.678	0.783	0.601	0.718053160575926	0.894299983692889	0.749222902053424
EE	0.284	0.352	0.243	0.25	0.237	0.307	0.238	0.261	0.83540749845948	0.387110262445052	0.702001746044336
EE	0.631	0.513	0.349	0.543	0.604	0.456	0.318	0.578	0.131304720853255	0.0419249038800348	0.0870114737694586
EE	0.79	0.916	0.69	0.49	0.797	0.911	0.672	0.48	0.53892191712252	0.6814527532526	0.712570142659849
EE	0.462	0.476	0.651	0.268	0.477	0.513	0.683	0.322	0.765973644269933	0.428030149518747	0.539454496539771
EE	0.343	0.276	0.442	0.485	0.322	0.307	0.456	0.503	0.284900193751629	0.435909349001729	0.497153449089573
EE	0.105	0.166	0.112	0.087	0.102	0.175	0.126	0.078	0.323453710004932	0.285128200898862	0.41316061457977
EE	0.247	0.572	0.521	0.807	0.22	0.579	0.534	0.819	0.52677646326544	0.589390904108532	0.899978799388587
EE	0.51	0.497	0.224	0.08	0.506	0.519	0.241	0.097	0.49633476515529	0.489213617460226	0.605210892669717
meanDE	0.225	0.23	0.107	0.21	0.274	0.243	0.132	0.228	0.146330570471222	0.0076485342297116	0.174134667552891
EE	0.704	0.726	0.112	0.174	0.696	0.722	0.117	0.194	0.73425037369518	0.691706486112804	0.801760364217409
varDE	0.505	0.293	0.483	0.258	0.517	0.278	0.485	0.275	0.997188006987855	0.126289089137464	0.292810503037436
meanDE	0.239	0.325	0.209	0.261	0.269	0.357	0.232	0.23	0.074459977895083	0.0339273679223639	0.0699926223603323
EE	0.355	0.38	0.59	0.446	0.353	0.351	0.595	0.427	0.647005023819885	0.348106196814136	0.812779873378185
EE	0.922	0.941	0.729	0.768	0.923	0.931	0.747	0.79	0.952771604981202	0.941638499942496	0.969038202075757
EE	0.211	0.203	0.254	0.901	0.213	0.21	0.28	0.874	0.13820783861525	0.0638846762670515	0.101387715305827
EE	0.861	0.651	0.93	0.963	0.851	0.635	0.925	0.956	0.731220013371353	0.569877155194129	0.557295725952446
EE	0.256	0.188	0.091	0.428	0.246	0.199	0.117	0.413	0.725852769712547	0.651413636023964	0.715153003300887
EE	0.661	0.574	0.757	0.436	0.671	0.565	0.763	0.471	0.226480266678912	0.060888033884618	0.195398735463927
EE	0.007	0.018	0.029	0.098	0.016	0.037	0.033	0.123	0.00193210329721849	3.3216173644816e-22	0.00580030334686796
EE	0.739	0.74	0.601	0.723	0.764	0.745	0.596	0.721	0.326115258974594	0.0148153558156392	0.0341997988531784
varDE	0.249	0.287	0.25	0.509	0.241	0.284	0.271	0.515	0.970755859898463	0.000801428249739539	0.0108919978756129
EE	0.513	0.426	0.843	0.757	0.493	0.378	0.861	0.744	0.478728416547673	0.508486190592795	0.53353387683914
EE	0.411	0.498	0.597	0.195	0.388	0.446	0.587	0.204	0.630558259818504	0.45880117795701	0.622670755367287
EE	0.114	0.057	0.16	0.78	0.138	0.077	0.19	0.802	0.178219683199538	0.105328972963415	0.263501168121056
EE	0.488	0.548	0.609	0.583	0.509	0.58	0.59	0.6	0.146979454887967	0.170336473997556	0.225257829236186
EE	0.083	0.091	0.209	0.287	0.07	0.076	0.203	0.29	0.195101803247681	0.194611337982023	0.194607505491381
