geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer	ranksum_pval
EE	0.845	0.881	0.587	0.882	0.864	0.872	0.612	0.919	0.871290146916186	0.296953843836908	0.743819915048852	0.953387677925182
EE	0.382	0.381	0.405	0.592	0.373	0.41	0.41	0.59	0.165490450491595	0.000186882019330461	0.339215209649159	0.000244278265948422
EE	0.873	0.926	0.404	0.814	0.902	0.938	0.392	0.843	0.866241531738775	0.427683694286513	0.651155450502205	0.800421061189342
meanDE	0.018	0.016	0.029	0.124	0.002	0.004	0.007	0.069	0.00314928196033656	0.000280510802834613	0.00167470727210752	8.12599421650628e-09
varDE	0.604	0.719	0.448	0.087	0.657	0.747	0.433	0.08	0.174700888231079	0.000401387300635988	0.0126115952551582	0.00975629676478861
varDE	0.0629999999999999	0.156	0.146	0.798	0.031	0.082	0.101	0.869	0.0271091681274379	4.58568414135154e-07	1.2946208143051e-05	0.230858399542434
EE	0.508	0.822	0.257	0.404	0.465	0.815	0.244	0.417	0.211423733166377	0.145203363938052	0.147352544904354	0.00745790926493947
EE	0.769	0.729	0.779	0.726	0.749	0.67	0.731	0.78	0.527456558215674	0.249833825472184	0.783009324114095	0.0681793513809757
EE	0.998	0.939	0.839	0.774	0.997	0.938	0.856	0.749	0.660365208470029	0.386767634477207	0.665202932503668	0.0158110675971872
EE	0.535	0.434	0.241	0.021	0.586	0.477	0.263	0.006	0.298276046523258	0.00296151051110857	0.0688520969181881	0.362727833455491
EE	0.019	0.0600000000000001	0.0629999999999999	0.205	0.03	0.049	0.055	0.204	0.00738506913355159	1.73984792681439e-06	0.00279592906414838	0.00071790267756115
EE	0.754	0.511	0.797	0.769	0.799	0.49	0.808	0.792	0.895663091791343	0.993082249989849	0.998617555338626	0.429914932803679
EE	0.886	0.934	0.577	0.478	0.824	0.945	0.545	0.444	0.965952170198609	0.161797588014728	0.222055567897722	0.330069245343281
EE	0.255	0.398	0.417	0.362	0.273	0.383	0.402	0.367	0.201702255521031	3.87489794403039e-06	0.29834315489645	1.76406614648535e-08
EE	0.542	0.315	0.924	0.3	0.501	0.269	0.88	0.305	0.764667742627683	0.643064090421006	0.837466263430306	0.200074652773781
meanDE	0.003	0.005	0.00900000000000001	0.00700000000000001	0.001	0.001	0.002	0.003	0.000704140831625798	2.58571763336996e-11	0.0005372027312216	3.23841775135289e-16
EE	0.885	0.709	0.795	0.862	0.892	0.697	0.823	0.875	0.86826425524532	0.678582212455217	0.840976930316907	0.491490168786529
varDE	0.096	0.005	0.033	0.01	0.113	0.007	0.061	0.005	0.504433122988907	8.24638227389458e-10	0.00539948045709027	0.00176792437697853
meanDE	0.329	0.229	0.232	0.307	0.277	0.247	0.234	0.273	0.838926276602838	0.777350520111169	0.922652255664403	0.278290332160015
