geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer
EE	0.178	0.214	0.178	0.559	0.155	0.197	0.186	0.578	0.268001674520145	0.00181386347827825	0.135951601223023
EE	0.716	0.752	0.156	0.773	0.924	0.852	0.191	0.87	0.227456693107614	0.202122129661279	0.208970240141353
EE	0.594	0.437	0.974	0.982	0.878	0.875	0.912	0.991	0.946813698728148	0.45984643063345	0.75267386606267
meanDE	0.518	0.579	0.756	0.876	0.58	0.685	0.949	0.607	0.461145010410071	0.00570524313845228	0.00742642546464458
varDE	0.097	0.174	0.128	0.431	0.086	0.115	0.11	0.54	0.00416384954459321	4.09269199584763e-05	0.0139054966960128
varDE	0.41	0.18	0.466	0.103	0.567	0.095	0.584	0.268	0.646326995015496	4.88059748077484e-05	0.000188238196896986
EE	0.29	0.298	0.294	0.438	0.166	0.13	0.154	0.616	0.606723849946357	0.282265877790036	0.345693535570835
EE	0.86	0.957	0.751	0.021	0.721	0.514	0.938	0.015	0.894380554112099	0.968887050148568	0.985915398460128
EE	0.725	0.66	0.425	0.398	0.455	0.411	0.275	0.222	0.859838575142047	0.741617856825537	0.741589884486302
EE	0.763	0.762	0.52	0.712	0.657	0.647	0.517	0.595	0.962401938565789	0.126440129619882	0.139958419144844
EE	0.706	0.785	0.766	0.807	0.98	0.689	0.975	0.829	0.770957584281422	0.652380573915967	0.903772471038725
EE	0.901	0.98	0.936	0.885	0.943	0.873	0.892	0.808	0.800233735785531	0.458424133606257	0.505330579991162
EE	0.922	0.931	0.633	0.324	0.968	0.941	0.615	0.321	0.589644265295243	0.160517829143585	0.518065374449081
EE	0.58	0.417	0.557	0.645	0.284	0.221	0.299	0.432	0.829478214504308	0.369362279166225	0.535217323924692
EE	0.191	0.199	0.285	0.563	0.285	0.214	0.559	0.672	0.587936423169808	0.0716052454212418	0.075811107791965
meanDE	0.387	0.425	0.498	0.625	0.632	0.684	0.644	0.638	0.489253758413774	0.104119501656307	0.642454190171057
EE	0.737	0.771	0.582	0.451	0.722	0.771	0.5	0.715	0.670169824934137	0.22177187446824	0.281316242219569
varDE	0.477	0.688	0.776	0.882	0.937	0.806	0.795	0.854	0.8549778970045	0.0031765492737677	0.394581355792753
meanDE	0.303	0.299	0.342	0.378	0.472	0.399	0.465	0.232	0.161280881118447	0.000390922622639644	0.38181472485048
EE	0.874	0.848	0.997	0.889	0.726	0.65	0.957	0.914	0.682134948939728	0.701457644207762	0.974759820699673
EE	0.216	0.215	0.262	0.241	0.438	0.314	0.449	0.372	0.425230157928052	0.593273033692437	0.974465310426459
EE	0.515	0.547	0.472	0.006	0.53	0.517	0.3	0.011	0.112290585306272	0.0147240250281254	0.16413470132114
