gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
VPS13D	0.912828387658464	0.6698	0.4994	0.5944	0.4282	0.784	0.8082	0.5752	0.6866
KIF1B	0.189679551255497	0.343	0.3884	0.1794	0.2382	0.5438	0.921	0.4396	0.6276
GNB1	0.566672265394278	0.27	0.2468	0.1758	0.1794	0.3988	0.6006	0.442	0.6312
UBE4B	0.521217784367259	0.4784	0.7078	0.4134	0.6914	0.684	0.1304	0.488	0.0742
ACAP3	0.293678889388674	0.3762	0.275	0.1358	0.0738	0.8822	0.8476	0.6728	0.6684
RERE	0.236267913814843	0.9772	0.7478	0.968	0.7272	0.0797	0.0944	0.0514	0.0611
CLSTN1	0.258084637987925	0.2524	0.1218	0.145	0.0662	0.4332	0.2116	0.2746	0.0877
CAMTA1	0.624448255246989	0.3292	0.2302	0.2554	0.1802	0.434	0.8704	0.4126	0.7714
KAZN	0.466672489666568	0.4884	0.701	0.4526	0.6732	0.3188	0.151	0.1056	0.0391
EIF4G3	0.848638370421316	0.527	0.3728	0.4122	0.2904	0.1342	0.2232	0.0752	0.1206
IGSF21	0.474269891099749	0.8434	0.8208	0.7888	0.7464	0.1742	0.271	0.2076	0.299
STMN1	0.000598497996421289	0.2078	0.1646	0.142	0.0915	0.179	0.121	0.1318	0.0765
HP1BP3	0.162373369183669	0.6256	0.6586	0.629	0.66	0.437	0.4772	0.1642	0.2808
PHACTR4	0.808490393108385	0.4386	0.4692	0.4656	0.4758	0.479	0.5984	0.1866	0.48
SCMH1	0.930671185380746	0.1672	0.0971	0.0893	0.0522	0.3344	0.1498	0.0623	0.0279
SFPQ	0.121069511218407	0.8764	0.7022	0.8	0.5824	0.5494	0.3746	0.1884	0.1216
RLF	0.0927573419997343	0.0768	0.0968	0.0798	0.099	0.0813	0.0612	0.0852	0.0631
CSMD2	0.560433832107555	0.7366	0.4442	0.6872	0.3798	0.46	0.3894	0.1452	0.0971
AGO3	0.480903769279308	0.823	0.6572	0.7674	0.547	0.1818	0.1718	0.1404	0.1366
HIVEP3	0.863118393493648	0.5834	0.6664	0.579	0.6236	0.2144	0.0615	0.0291	0.0159
MACF1	0.94257051615581	0.476	0.4548	0.439	0.4088	0.5942	0.4914	0.4588	0.3472
NASP	0.363995359674547	0.3194	0.31	0.2422	0.1812	0.9398	0.9468	0.936	0.9408
PUM1	0.306806668805545	0.7474	0.828	0.6668	0.7996	0.1098	0.2294	0.0427	0.2064
KIAA0319L	0.93015497083093	0.6056	0.6938	0.554	0.643	0.729	0.927	0.6722	0.9082
ZMYM4	0.320505991796514	0.5618	0.392	0.3904	0.2702	0.3636	0.3206	0.1622	0.128
ZSWIM5	0.691622550979159	0.993	0.9964	0.9924	0.9942	0.0952	0.0683	0.0294	0.0219
SDC3	0.764841175404521	0.3034	0.161	0.2788	0.1424	0.99	0.9358	0.9748	0.8946
MARCKSL1	0.257037400611949	0.1048	0.1182	0.0615	0.0671	0.5512	0.294	0.2076	0.0884
FOXJ3	0.13254081194521	0.0842	0.0448	0.1032	0.0554	0.486	0.8052	0.4868	0.6928
LRRC7	0.131565585671005	0.2636	0.4092	0.2504	0.3916	0.267	0.2214	0.2014	0.1846
NRDC	0.440526666596037	0.7146	0.9814	0.71	0.976	0.0966	0.1596	0.0428	0.0939
DNAJC6	0.976806370206468	0.4954	0.3982	0.4714	0.388	0.8714	0.7286	0.6872	0.5556
SRSF11	0.0545416016018432	0.07	0.084	0.0299	0.0602	0.83	0.7014	0.5672	0.4934
SGIP1	0.139032524512991	0.5044	0.4902	0.4188	0.4206	0.2826	0.2748	0.2064	0.1976
SPATA6	0.995154133482843	0.7976	0.9018	0.7492	0.8792	0.3422	0.2996	0.3254	0.2608
PATJ	0.576324248781818	0.5326	0.5498	0.3374	0.3612	0.6822	0.5274	0.449	0.3074
TUT4	0.735645356919716	0.3438	0.38	0.284	0.3648	0.2414	0.1544	0.0805	0.0564
ZFYVE9	0.993643686065193	0.2224	0.4174	0.2306	0.4074	0.7304	0.6782	0.6928	0.6324
USP24	0.532859563445196	0.7182	0.877	0.632	0.8276	0.4954	0.4506	0.312	0.2786
PLPP3	0.290090935676977	0.1938	0.3172	0.1814	0.308	0.2826	0.4094	0.1836	0.3946
NFIA	0.128673847136969	0.6628	0.8554	0.6154	0.8364	0.2854	0.4804	0.2544	0.4828
NEGR1	0.595761602141951	0.8438	0.6762	0.8146	0.6036	0.4774	0.4982	0.3518	0.3546
DAB1	0.0372068738239487	0.0157	0.0171	0.0103	0.0128	0.0072	0.0045	0.0079	0.0055
PDE4B	0.300452076695308	0.3618	0.7012	0.365	0.665	0.2974	0.382	0.2002	0.2656
FAF1	0.659050397664856	0.4864	0.582	0.4866	0.5592	0.0844	0.0566	0.0569	0.0317
AGBL4	0.950191637655255	0.79	0.4282	0.7934	0.4662	0.1448	0.0099	0.0711	8e-04
_ENSG00000036549	0.61149541948645	0.694	0.7166	0.3626	0.5048	0.2036	0.2332	0.0913	0.2574
COL11A1	0.853282809809943	0.9206	0.7754	0.8954	0.7386	0.7932	0.7998	0.5606	0.6164
PKN2	0.71487109418048	0.7468	0.9438	0.5888	0.8908	0.6248	0.5908	0.4926	0.5258
EVI5	0.42987662487114	0.0371	0.041	0.0342	0.048	0.1726	0.0269	0.0652	0.0194
USP33	0.521546684297001	0.8296	0.848	0.798	0.8372	0.2046	0.0698	0.0447	0.0113
PTBP2	0.502513658459967	0.9256	0.7016	0.878	0.477	0.3964	0.6916	0.3492	0.6982
PLPPR5	0.250202101448031	0.6844	0.6512	0.6598	0.6006	0.4766	0.9746	0.3802	0.9558
PLPPR4	0.735051202201214	0.3906	0.2804	0.3744	0.2744	0.857	0.7232	0.6704	0.5304
ZNF644	0.242863900696529	0.1928	0.2566	0.1546	0.2308	0.9972	0.9796	0.9774	0.965
RPAP2	0.915493285365147	0.7028	0.7438	0.595	0.6032	0.358	0.368	0.157	0.1956
