gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
VPS13D	0.768887954554642	0.7262	0.6098	0.8138	0.6704	0.5476	0.4118	0.159	0.1152
KIF1B	0.546250043916089	0.9568	0.784	0.993	0.763	0.6408	0.93	0.5772	0.9358
GNB1	0.927813444771958	0.9404	0.9874	0.9398	0.9318	0.747	0.7642	0.726	0.7658
UBE4B	0.250479119415407	0.892	0.721	0.8576	0.6822	0.5072	0.0473	0.28	0.0236
ACAP3	0.496740050389612	0.4528	0.5004	0.275	0.3768	0.8106	0.8528	0.5434	0.8218
RERE	0.479260641851411	0.6988	0.634	0.4746	0.4198	0.32	0.3264	0.2408	0.248
CLSTN1	0.142355394310616	0.5984	0.6902	0.6234	0.7868	0.4812	0.4234	0.2896	0.3064
CAMTA1	0.780659060426654	0.5242	0.5044	0.3958	0.3988	0.6612	0.5026	0.648	0.478
KAZN	0.0114919210904405	0.181	0.1998	0.0989	0.1212	0.1586	0.1043	0.0152	0.0126
EIF4G3	0.710999658152609	0.9276	0.957	0.973	0.8888	0.4222	0.5938	0.3046	0.4802
IGSF21	0.367192060738242	0.584	0.4436	0.5694	0.4608	0.1966	0.138	0.2108	0.1378
STMN1	0.157255793829604	0.2974	0.3504	0.2276	0.239	0.4836	0.507	0.4578	0.4466
HP1BP3	0.169509897394161	0.2734	0.2862	0.2922	0.2984	0.8938	0.8126	0.9704	0.908
PHACTR4	0.285242172869775	0.7096	0.8622	0.778	0.9558	0.7884	0.9232	0.5808	0.9102
SCMH1	0.990963899293963	0.3304	0.413	0.233	0.3596	0.761	0.441	0.6142	0.3826
SFPQ	0.385186545225644	0.9724	0.7306	0.8778	0.5766	0.9214	0.7904	0.7054	0.5896
RLF	0.908282383751419	0.9656	0.8854	0.9586	0.8406	0.05	0.061	0.0546	0.0546
CSMD2	0.862473643402705	0.8652	0.956	0.868	0.9544	0.774	0.4402	0.6002	0.1616
AGO3	0.275506747406488	0.5852	0.678	0.4522	0.5812	0.4084	0.4964	0.3406	0.4462
HIVEP3	0.995360917801395	0.7876	0.545	0.8832	0.575	0.5128	0.3088	0.2708	0.209
MACF1	0.501897807732016	0.284	0.3876	0.3132	0.3924	0.6996	0.942	0.566	0.9342
NASP	0.684162661652982	0.584	0.5798	0.5724	0.4872	0.9988	0.9736	0.9808	0.9506
PUM1	0.61676577258996	0.9346	0.9084	0.9558	0.8354	0.9664	0.8454	0.8858	0.8882
KIAA0319L	0.405930224430419	0.2652	0.2436	0.1658	0.1272	0.9732	0.9658	0.8832	0.9386
ZMYM4	0.872409844904006	0.8356	0.9174	0.718	0.9194	0.8804	0.7952	0.7106	0.6212
ZSWIM5	0.197873864970569	0.4846	0.471	0.6176	0.5948	0.5588	0.2994	0.4732	0.2298
SDC3	0.893736239244537	0.9702	0.9832	0.9086	0.9378	0.6132	0.5484	0.3412	0.296
MARCKSL1	0.703117153489858	0.7366	0.663	0.6504	0.5882	0.8072	0.6178	0.6046	0.4486
FOXJ3	0.381532674664287	0.152	0.2062	0.17	0.2244	0.5058	0.7428	0.4934	0.9152
LRRC7	0.643927464510504	0.9922	0.6868	0.9624	0.7182	0.7594	0.675	0.6594	0.5616
NRDC	0.645740848175994	0.3198	0.4184	0.2182	0.271	0.2212	0.2904	0.101	0.1606
DNAJC6	0.977748689538978	0.5004	0.8786	0.6474	0.992	0.962	0.9048	0.9138	0.8554
SRSF11	0.555161888593116	0.479	0.6154	0.4884	0.7392	0.8484	0.901	0.7182	0.8954
SGIP1	0.854208307862947	0.7948	0.9366	0.6832	0.8296	0.7454	0.6098	0.6614	0.4836
SPATA6	0.963716324686297	0.9836	0.8752	0.961	0.7644	0.7648	0.8614	0.7142	0.8134
PATJ	0.217469547593154	0.3368	0.4322	0.2026	0.336	0.7622	0.8216	0.5744	0.7634
TUT4	0.00542473238328158	0.1632	0.145	0.1084	0.151	0.6412	0.6048	0.4644	0.49
ZFYVE9	0.142854147201994	0.206	0.112	0.2086	0.1066	0.9292	0.7892	0.895	0.7134
USP24	0.722782920166167	0.6108	0.5422	0.5034	0.4312	0.8354	0.8502	0.6794	0.6954
