gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
VPS13D	0.529310322445291	0.4626	0.3712	0.3912	0.297	0.9052	0.6408	0.8884	0.6258
PER3	0.60467680903107	0.7944	0.7358	0.7984	0.7108	0.4152	0.2046	0.4132	0.2152
KIF1B	0.720812113161852	0.7922	0.7952	0.6982	0.7412	0.0419	0.0145	0.0022	0.0021
PRKCZ	0.0283702526801085	0.0983	0.1027	0.0155	0.0245	0.5054	0.6542	0.2538	0.4342
KCNAB2	0.177928359538332	0.0149	0.0161	0.0115	0.0128	0.4342	0.4048	0.3062	0.2798
ENO1	0.0769350697798115	0.5974	0.6134	0.6494	0.6322	0.4116	0.3956	0.4138	0.3852
GNB1	0.850743185777122	0.7964	0.7384	0.8698	0.8304	0.5	0.752	0.4154	0.6338
ACOT7	0.4850505023869	0.6096	0.4842	0.5778	0.4596	0.3296	0.3508	0.296	0.2968
CHD5	0.463355151504213	0.6858	0.589	0.4656	0.3528	0.7832	0.657	0.5116	0.2772
PARK7	0.953262127125327	0.554	0.5588	0.5882	0.5808	0.8164	0.764	0.8852	0.815
PRDM2	0.349699796655477	0.8034	0.7874	0.8142	0.7994	0.942	0.8858	0.897	0.8252
UBE4B	0.218228924655411	0.5338	0.4934	0.4322	0.386	0.9926	0.7856	0.9828	0.7338
ACAP3	0.875861453924749	0.909	0.7838	0.9206	0.7586	0.931	0.8374	0.8406	0.6664
FBXO44	0.460561424824541	0.3504	0.2094	0.4256	0.2652	0.3126	0.3644	0.1532	0.198
RERE	0.630071708116053	0.5358	0.4972	0.4942	0.4378	0.3338	0.5814	0.302	0.5406
EFHD2	0.204754915579255	0.5458	0.5122	0.5688	0.472	0.6324	0.4976	0.4758	0.359
PEX14	0.344911161936917	0.371	0.3998	0.4366	0.4166	0.2702	0.0773	0.3138	0.1023
SKI	0.865551770665596	0.69	0.5442	0.7176	0.5518	0.7052	0.7214	0.4396	0.4686
CLSTN1	0.319732664523407	0.5098	0.4364	0.6672	0.5236	0.3902	0.456	0.1752	0.2308
PIK3CD	0.32454897705239	0.9102	0.8292	0.7736	0.7138	0.817	0.6708	0.8228	0.687
CAMTA1	0.719279307468632	0.558	0.6908	0.4748	0.5884	0.9078	0.819	0.8462	0.7296
KAZN	0.378679454327887	0.3954	0.395	0.3532	0.3808	0.5128	0.491	0.4658	0.5168
MTOR	0.980827550179863	0.4842	0.3664	0.4702	0.3612	0.6762	0.5224	0.616	0.4696
MTATP6P1	0.405388387753584	0.3584	0.2568	0.2998	0.206	0.5922	0.7452	0.5502	0.711
NIPAL3	0.848843831428429	0.728	0.7412	0.6092	0.678	0.7922	0.746	0.7286	0.6326
KDM1A	0.935868014173338	0.6278	0.6314	0.6134	0.6026	0.855	0.9954	0.7318	0.97
FBXO42	0.944830131115294	0.7006	0.672	0.7968	0.7744	0.7794	0.899	0.7978	0.9576
PITHD1	0.114781247508766	0.1734	0.2628	0.1234	0.1968	0.3938	0.4052	0.1216	0.1794
SPEN	0.389006937605837	0.391	0.5024	0.4608	0.6068	0.1968	0.2344	0.0716	0.1418
CDC42	0.693417756624693	0.9084	0.7268	0.9618	0.8382	0.314	0.3254	0.2582	0.2408
EIF4G3	0.971214132704466	0.364	0.5186	0.3462	0.5638	0.9358	0.9958	0.9726	0.9656
RAP1GAP	0.350091756384723	0.3604	0.3472	0.2656	0.2704	0.3614	0.3538	0.1118	0.1396
CAPZB	0.309412063438953	0.2786	0.4338	0.2786	0.4414	0.3964	0.4436	0.306	0.3848
CROCCP3	0.368996510669785	0.372	0.4742	0.3624	0.4946	0.0758	0.0213	0.0654	0.0181
USP48	0.0606201440435282	0.4204	0.4594	0.3416	0.3752	0.2344	0.1146	0.2756	0.1644
DNAJC16	0.623907354799426	0.8652	0.4572	0.8808	0.4604	0.2954	0.4306	0.2478	0.5632
SRSF4	0.723683883801416	0.5822	0.4862	0.603	0.4854	0.8994	0.9228	0.9096	0.8132
PLEKHM2	0.541607883800945	0.7178	0.8086	0.6562	0.7358	0.7936	0.5748	0.7722	0.5758
RSRP1	0.651153353945697	0.559	0.5576	0.6808	0.703	0.8236	0.6422	0.8172	0.6422
STMN1	0.701316999836991	0.7278	0.6022	0.625	0.5194	0.8572	0.8156	0.8262	0.7278
ARID1A	0.371302303237762	0.5604	0.6584	0.4858	0.5636	0.7754	0.556	0.5856	0.3022
STX12	0.509982757795597	0.7304	0.7484	0.5996	0.6088	0.9248	0.9984	0.96	0.9978
HNRNPR	0.694479186720248	0.8244	0.5838	0.78	0.4802	0.5798	0.5962	0.539	0.5924
UBR4	0.146047509266545	0.264	0.4128	0.2434	0.4442	0.9828	0.901	0.9852	0.9028
HP1BP3	0.598668331539673	0.9422	0.9532	0.9216	0.9268	0.9324	0.9386	0.9574	0.97
ATP5IF1	0.246936396243695	0.5988	0.5904	0.6956	0.6542	0.6058	0.5406	0.5372	0.4758
SRRM1	0.719740289912032	0.646	0.6294	0.6618	0.652	0.7154	0.8882	0.7778	0.9398
RPL11	0.232964829840066	0.2936	0.3572	0.3038	0.3538	0.1576	0.157	0.1108	0.0926
EYA3	0.836094359471091	0.2216	0.3314	0.2772	0.3946	0.3344	0.5234	0.29	0.6406
NBL1	0.00349173685658493	0.0382	0.0318	0.0022	0.0032	0.3732	0.397	0.0795	0.1328
PINK1	0.949733724411709	0.927	0.9482	0.9986	0.9052	0.5528	0.4376	0.4948	0.3868
ATP13A2	0.133714350017373	0.2112	0.202	0.1754	0.1632	0.32	0.3334	0.1658	0.1626
CAMK2N1	0.352271782912002	0.3202	0.3002	0.1872	0.1422	0.6436	0.751	0.5448	0.6492
LUZP1	0.863949788566254	0.8686	0.7482	0.9194	0.7914	0.6492	0.5042	0.689	0.5532
TMEM50A	0.727862778493014	0.7608	0.663	0.9284	0.8518	0.5928	0.8236	0.5016	0.756
SRSF10	0.815387236244015	0.94	0.6596	0.843	0.503	0.66	0.7158	0.5024	0.6124
PHACTR4	0.824062906489391	0.9244	0.9672	0.9178	0.9462	0.5454	0.8694	0.4804	0.874
MACO1	0.213560013684533	0.0292	0.036	0.0231	0.025	0.8348	0.7986	0.828	0.8054
NBPF1	0.297823416659403	0.3988	0.5374	0.2742	0.442	0.4648	0.4208	0.4502	0.4836
UQCRHL	0.530183370075167	0.333	0.254	0.3674	0.2978	0.5408	0.3762	0.5376	0.341
SCMH1	0.795803648097268	0.8668	0.7758	0.805	0.6702	0.3336	0.4122	0.1362	0.4084
NCDN	0.192074659924657	0.4166	0.4054	0.3792	0.3958	0.5808	0.5932	0.4178	0.507
THRAP3	0.421171294619769	0.5562	0.5432	0.527	0.4812	0.794	0.3712	0.8172	0.3516
NFYC	0.364593898634025	0.5286	0.5774	0.5778	0.657	0.911	0.775	0.938	0.878
EIF2B3	0.04343776784564	0.1108	0.1258	0.0731	0.0871	0.8292	0.9334	0.8516	0.9874
SMAP2	0.222153135715046	0.0972	0.117	0.0663	0.0735	0.9902	0.7758	0.957	0.742
MAST2	0.852756261610845	0.5106	0.501	0.666	0.7072	0.8998	0.7494	0.9142	0.761
SFPQ	0.347611059377272	0.4992	0.4426	0.405	0.373	0.5046	0.3168	0.1898	0.1416
MAP7D1	0.563248756157891	0.6738	0.659	0.84	0.8424	0.3178	0.2294	0.0777	0.072
HPCAL4	0.925429085399809	0.48	0.3422	0.4298	0.3144	0.6214	0.7546	0.574	0.7322
RLF	0.437523836739333	0.6442	0.7956	0.7718	0.8954	0.841	0.675	0.8318	0.6652
ATP6V0B	0.627707432525568	0.4488	0.45	0.4984	0.42	0.1786	0.1908	0.0927	0.1194
ERI3	0.489065801138521	0.3154	0.3502	0.197	0.2206	0.9518	0.9066	0.8602	0.9412
PRDX1	0.483777724039797	0.3666	0.258	0.3836	0.2498	0.882	0.7182	0.975	0.7928
ZCCHC17	0.729922481750401	0.9584	0.8812	0.959	0.8654	0.9284	0.894	0.9722	0.8828
KHDRBS1	0.731967790324218	0.2056	0.2474	0.1614	0.2026	0.894	0.9494	0.8802	0.973
CSMD2	0.46845445626082	0.7142	0.7108	0.783	0.7744	0.7518	0.7924	0.6314	0.6928
AGO3	0.954198259082166	0.7626	0.7846	0.6772	0.7224	0.6794	0.9998	0.6636	0.9984
ST3GAL3	0.713920077047912	0.5988	0.5382	0.4894	0.459	0.9632	0.7598	0.9672	0.7062
HIVEP3	0.44075293519706	0.6534	0.7184	0.5964	0.7032	0.3028	0.333	0.1128	0.2054
MACF1	0.91621367705315	0.8512	0.8634	0.9048	0.8152	0.9802	0.532	0.9618	0.5656
