gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
KIF1B	0.0577853986813715	0.0692	0.033	0.0533	0.0217	0.3102	0.2654	0.2176	0.1458
ENO1	0.402375418168445	0.8662	0.9382	0.774	0.8866	0.3838	0.4776	0.213	0.2872
GNB1	0.490961224964282	0.1696	0.2228	0.1768	0.202	0.9136	0.8422	0.9616	0.884
ACOT7	0.937194756683246	0.9776	0.9182	0.9902	0.9002	0.5004	0.5696	0.4076	0.4604
CHD5	0.714413696512918	0.6406	0.52	0.4588	0.2802	0.3504	0.2486	0.1362	0.077
CLSTN1	0.452502506727418	0.2284	0.2928	0.1854	0.2572	0.7466	0.8136	0.6648	0.6898
CAMTA1	0.148438083647433	0.0198	0.021	0.0101	0.0074	0.7982	0.5674	0.7062	0.505
MTATP6P1	0.331225637451604	0.5248	0.4334	0.5114	0.4172	0.5724	0.6272	0.481	0.518
CDC42	0.978589297876984	0.6636	0.707	0.5498	0.5576	0.6726	0.6466	0.7056	0.7306
STMN1	0.540863538398956	0.739	0.6256	0.7892	0.5632	0.8984	0.8442	0.9316	0.7868
ATP5IF1	0.482612528538846	0.4274	0.4696	0.4122	0.4818	0.693	0.7594	0.5646	0.6026
CAMK2N1	0.961898162931629	0.7426	0.8074	0.7606	0.8412	0.6952	0.8778	0.6474	0.8244
NCDN	0.657763475609785	0.848	0.7308	0.7176	0.5944	0.5768	0.5714	0.4806	0.4332
ATP6V0B	0.191253037412693	0.2742	0.37	0.2906	0.3734	0.4846	0.4686	0.4482	0.4408
ADGRB2	0.178514509633751	0.2492	0.2684	0.2196	0.2776	0.2964	0.2224	0.1454	0.073
HPCA	0.435811586378217	0.1894	0.2004	0.1494	0.1516	0.276	0.2692	0.11	0.1478
NDUFS5	0.707741606393486	0.2664	0.3708	0.155	0.1632	0.9842	0.898	0.8538	0.7152
UQCRH	0.116482096873162	0.0771	0.1076	0.0609	0.0738	0.5732	0.5532	0.482	0.373
LRRC7	0.328286410239616	0.588	0.236	0.6068	0.2166	0.691	0.8118	0.639	0.7434
DNAJC6	0.148207609529417	0.1572	0.263	0.1854	0.3954	0.5888	0.611	0.4828	0.4808
RNF11	0.595498080478518	0.399	0.1978	0.3456	0.16	0.5042	0.41	0.4228	0.288
ELAVL4	0.933597098146912	0.5752	0.4926	0.5242	0.404	0.425	0.3154	0.312	0.1898
NEGR1	0.25407924458205	0.283	0.212	0.3206	0.2174	0.5608	0.5958	0.4562	0.49
PLPPR4	0.422445598935661	0.9548	0.9454	0.9608	0.9458	0.9148	0.8566	0.8344	0.768
PRKACB	0.988484796452927	0.9874	0.9696	0.9802	0.9502	0.765	0.5766	0.7232	0.5542
LMO4	0.600235678650664	0.6204	0.7662	0.7492	0.8206	0.6138	0.8414	0.5884	0.7938
AK5	0.425118386492289	0.5534	0.5142	0.4454	0.38	0.5812	0.8174	0.5876	0.7684
_ENSG00000224550	0.740707109242919	0.8152	0.7342	0.6842	0.5556	0.7902	0.8264	0.8376	0.8384
ATP1A1	0.527337789582115	0.99	0.9096	0.9828	0.671	0.4952	0.7434	0.2456	0.569
SLC6A17	0.410439263016105	0.3512	0.4258	0.2662	0.3262	0.525	0.511	0.4816	0.4742
SYT11	0.0666600880575674	0.2656	0.3086	0.1548	0.2776	0.4818	0.3442	0.2806	0.1872
ENSA	0.793726136368104	0.8216	0.8558	0.797	0.8134	0.9378	0.9722	0.7606	0.7982
SV2A	0.533480502005216	0.4306	0.4354	0.3936	0.3684	0.7056	0.8712	0.7006	0.8562
MLLT11	0.612943006238418	0.5938	0.4704	0.688	0.546	0.938	0.9594	0.972	0.8168
KIFAP3	0.851005458049102	0.9488	0.8988	0.9204	0.8738	0.6512	0.6912	0.5496	0.6058
RGS4	0.438641945645729	0.3652	0.386	0.3914	0.3792	0.5344	0.6786	0.506	0.6306
ATP1B1	0.512961167606522	0.9376	0.9866	0.9098	0.9952	0.6398	0.4726	0.5622	0.3798
MGST3	0.714855750201468	0.5584	0.4648	0.4904	0.3922	0.8412	0.9196	0.9068	0.946
CADM3	0.159724972694815	0.4552	0.5792	0.2954	0.5242	0.7402	0.795	0.6714	0.742
DNM3	0.391371459971506	0.4676	0.6176	0.44	0.4952	0.433	0.5662	0.4434	0.5878
CAMSAP2	0.864214206477793	0.661	0.473	0.63	0.4332	0.8348	0.8834	0.816	0.863
NUCKS1	0.247178217569644	0.4986	0.3204	0.495	0.3116	0.523	0.4638	0.3796	0.2768
ARF1	0.290826297021654	0.224	0.1562	0.262	0.1636	0.2898	0.219	0.1806	0.1016
GUK1	0.638974220126065	0.6922	0.7326	0.5986	0.6578	0.6468	0.7898	0.5302	0.6414
TOMM20	0.323956674822868	0.4086	0.3572	0.36	0.2292	0.5568	0.5992	0.5156	0.5648
ZBTB18	0.496581826141261	0.5358	0.3962	0.5208	0.3718	0.5532	0.5288	0.4978	0.4424
MYT1L	0.221622637159105	0.277	0.2212	0.1926	0.2204	0.3632	0.464	0.2294	0.3088
RYR2	0.14997636768567	0.6858	0.8414	0.7686	0.917	0.3164	0.2692	0.1412	0.0958
KIF3C	0.455628406367593	0.3956	0.3138	0.3508	0.2924	0.5374	0.562	0.5478	0.608
VSNL1	0.601272121306015	0.6732	0.7002	0.673	0.6832	0.543	0.6718	0.4776	0.658
FAM49A	0.752220834440469	0.7888	0.5244	0.7424	0.4524	0.5514	0.4954	0.5062	0.4174
LINC00486	0.709250267545549	0.9204	0.7368	0.8156	0.6848	0.7592	0.991	0.7798	0.9688
MDH1	0.624078993882681	0.7504	0.802	0.7132	0.8554	0.8044	0.7852	0.8514	0.7562
SPTBN1	0.987846795187546	0.6856	0.5658	0.7252	0.6146	0.4358	0.6268	0.1288	0.3552
RTN4	0.145039592560334	0.1842	0.2146	0.0702	0.075	0.4096	0.5004	0.1704	0.257
ACTR2	0.635926704465635	0.9642	1	0.9234	0.972	0.4626	0.4904	0.4022	0.3822
PREPL	0.782501722440341	0.9496	0.9258	0.967	0.9294	0.7414	0.865	0.714	0.8074
RPS27A	0.452904392074316	0.6728	0.597	0.6206	0.4828	0.5236	0.5574	0.4386	0.4356
PRKCE	0.320849974045249	0.216	0.3506	0.1508	0.3182	0.8058	0.4226	0.7294	0.253
NRXN1	0.628364343647479	0.652	0.3082	0.6734	0.3826	0.704	0.755	0.67	0.7136
SLC8A1	0.613256180534411	0.545	0.5566	0.4256	0.4828	0.6162	0.769	0.5082	0.6488
TMSB10	0.77477142183348	0.9686	0.963	0.923	0.8962	0.9656	0.9462	0.8824	0.8608
CTNNA2	0.217041912577519	0.1688	0.2	0.1094	0.1308	0.3982	0.62	0.2498	0.4854
AAK1	0.304124192376113	0.5208	0.798	0.4644	0.7816	0.3492	0.3468	0.1908	0.2002
LRRTM4	0.284311394855732	0.512	0.2792	0.4488	0.2274	0.6836	0.9202	0.5426	0.8208
COX5B	0.466592557561852	0.5154	0.5222	0.4594	0.4494	0.66	0.7328	0.5244	0.5672
LONRF2	0.875557621044336	0.7998	0.9214	0.7304	0.9192	0.7218	0.8218	0.7036	0.8126
CREG2	0.680272753428968	0.7702	0.9938	0.684	0.9912	0.8034	0.9136	0.7564	0.8804
LRP1B	0.819159253026554	0.4602	0.2634	0.4842	0.2782	0.678	0.6336	0.606	0.486
DPP10	0.537883684032325	0.0438	0.0628	0.0114	0.0158	0.3192	0.38	0.1156	0.1688
CHN1	0.0148274578909883	0.0484	0.1104	0.0562	0.1404	0.3818	0.3226	0.1568	0.131
SCN2A	0.649130985653289	0.8296	0.6434	0.7228	0.5208	0.4642	0.5456	0.2004	0.3278
SCN1A	0.194326557730184	0.0308	0.0811	0.0404	0.1042	0.851	0.9904	0.9638	0.9928
SLC4A10	0.123689443267923	0.7186	0.7874	0.715	0.757	0.2792	0.3316	0.1284	0.2062
KIF5C_ENSG00000168280	0.544267787430115	0.9954	0.9938	0.9836	0.9998	0.5774	0.5678	0.4948	0.504
CERS6	0.836973612526001	0.8166	0.5632	0.7464	0.5114	0.4556	0.4974	0.358	0.3936
CSRNP3	0.272560767630871	0.5346	0.3076	0.5852	0.3768	0.5758	0.8922	0.4552	0.8106
_ENSG00000218175	0.23199036671657	0.323	0.3212	0.1828	0.0897	0.9348	0.9554	0.9492	0.7958
_ENSG00000233762	0.229148270443697	0.4436	0.3524	0.451	0.3458	0.8074	0.7184	0.6386	0.5114
NCKAP1	0.305643984569222	0.627	0.407	0.4026	0.242	0.5572	0.4244	0.5088	0.369
MAP2	0.781649495438904	0.6466	0.6698	0.5818	0.5596	0.6966	0.7658	0.6066	0.6288
INO80D	0.294677781947669	0.4168	0.5852	0.3472	0.627	0.584	0.6176	0.4898	0.5412
PDE1A	0.815622747104781	0.4898	0.514	0.5056	0.5302	0.5904	0.505	0.5694	0.4222
GLS	0.462582652025678	0.159	0.2224	0.1766	0.2646	0.4124	0.359	0.2146	0.1882
ABI2	0.281742412580576	0.5532	0.6384	0.3368	0.446	0.3994	0.4534	0.2434	0.3646
FAM171B	0.68965991051485	0.6296	0.5668	0.5698	0.4826	0.5668	0.4822	0.5006	0.3942
ERBB4	0.814430334486444	0.8416	0.609	0.7302	0.386	0.9462	0.9258	0.949	0.91
SLC39A10	0.907278047954105	0.9498	0.7816	0.9274	0.6922	0.6522	0.7804	0.677	0.8128
PTPRN	0.523907488895263	0.4418	0.42	0.4148	0.3466	0.3884	0.357	0.3394	0.3184
NGEF	0.365080141213692	0.2994	0.2188	0.2172	0.1778	0.4714	0.3422	0.4094	0.2802
EPHA4	0.149334549887299	0.8488	0.7332	0.817	0.8348	0.5298	0.6294	0.3854	0.4802
ACSL3	0.0673624856114149	0.0799	0.0317	0.0663	0.0244	0.8566	0.8238	0.7986	0.7834
TUBA4A	0.113898159908362	0.2106	0.3334	0.1836	0.2672	0.1658	0.1436	0.0715	0.0592
ITM2C	0.52322035894839	0.4452	0.529	0.4096	0.5	0.9146	0.9526	0.963	0.9674
SERPINE2	0.860118987790374	0.9778	0.9904	0.9572	0.8124	0.846	0.7186	0.742	0.5682
SCG2	0.783649938527952	0.3746	0.4012	0.3462	0.3468	0.7276	0.5416	0.7396	0.551
PTMA	0.267079345131879	0.164	0.1094	0.1836	0.1202	0.465	0.3522	0.253	0.1708
RPL37A	0.0140035103987935	0.0331	0.0673	7e-04	0.0107	0.3868	0.4116	0.2902	0.3028
