gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
DNAJC11	0.0975124027246289	0.0656	0.0538	0.0304	0.0314	0.101	0.0704	0.0221	0.0312
VPS13D	0.860582959653307	0.3288	0.417	0.2316	0.3236	0.0531	0.0345	0.0041	0.004
PER3	0.14637198394529	0.6834	0.466	0.6658	0.4342	0.3802	0.256	0.3672	0.248
KIF1B	0.85798504035704	0.2336	0.3026	0.18	0.2474	0.361	0.4164	0.2996	0.3444
PRKCZ	0.0157587675539477	0.1912	0.1214	0.0898	0.0436	0.2064	0.1952	0.0603	0.0662
KCNAB2	0.0616301133136665	0.073	0.1394	0.0508	0.0984	0.1272	0.0926	0.0725	0.0456
ENO1	0.7436107729985	0.4858	0.4638	0.4524	0.4382	0.7416	0.7606	0.6972	0.7378
GNB1	0.643662991318223	0.9582	0.966	0.9626	0.9674	0.8702	0.8054	0.8668	0.7704
SDF4	0.658003245283285	0.69	0.497	0.4824	0.2484	0.6772	0.48	0.3896	0.2166
ACOT7	0.0641328624262282	0.1656	0.178	0.18	0.1898	0.0899	0.1152	0.0822	0.0895
CEP104	0.747982905503864	0.44	0.4878	0.36	0.3956	0.121	0.0551	0.0599	0.0281
RPL22	0.000560091825363845	0.0224	0.057	0.0067	0.015	0.0648	0.1138	0.042	0.0698
CHD5	0.0451506828089085	0.4366	0.3004	0.1168	0.0555	0.5916	0.4322	0.2976	0.1632
ERRFI1	0.104224802828182	0.284	0.2714	0.2796	0.2486	0.4144	0.1664	0.2688	0.0539
PARK7	0.133533631092767	0.2358	0.2558	0.2038	0.2014	0.3022	0.3942	0.2456	0.322
SRM	0.650301105365875	0.789	0.834	0.7268	0.7842	0.7718	0.9856	0.718	0.9852
FBXO2	0.485807811749336	0.8262	0.9752	0.7756	0.9738	0.485	0.4862	0.3722	0.3638
MFN2	0.961139382774637	0.9364	0.9466	0.9296	0.942	0.4364	0.5826	0.3566	0.5452
PRDM2	0.620194371368416	0.0845	0.0574	0.083	0.0574	0.0897	0.0742	0.0799	0.0745
INTS11	0.162255100550342	0.3604	0.317	0.2854	0.234	0.3588	0.2432	0.1474	0.114
LRRC47	0.448316334444735	0.325	0.3568	0.3176	0.3904	0.7244	0.9392	0.6706	0.9376
UBE4B	0.355540180081784	0.1276	0.1138	0.0389	0.0491	0.0841	0.0431	0.0053	0.0036
ACAP3	0.0511314263816001	0.2706	0.198	0.0337	0.0179	0.4958	0.3476	0.2118	0.1102
C1orf159	0.512539200498255	0.1492	0.1184	0.1314	0.1064	0.1	0.0829	0.0917	0.083
NPHP4	0.857959590228491	0.3422	0.4932	0.266	0.409	0.373	0.601	0.3114	0.5994
FBXO44	0.0453657783237485	0.245	0.2446	0.2284	0.2108	0.2942	0.2352	0.2298	0.1726
RERE	0.583724755664756	0.4362	0.3834	0.4352	0.3688	0.3218	0.1382	0.326	0.149
CFAP74	0.561814270717847	0.384	0.447	0.2668	0.3238	0.156	0.1852	0.0342	0.0711
FHAD1	0.822736146426007	0.7654	0.5126	0.7138	0.451	0.2896	0.2936	0.0855	0.1556
PEX14	0.201689964791584	0.0384	0.028	0.0419	0.0284	0.0289	0.0218	0.0068	0.0076
PLCH2_ENSG00000149527	0.0407828684456711	0.5306	0.3164	0.2702	0.0731	0.8	0.5806	0.5388	0.2238
RER1	0.0206636803700023	0.4168	0.2956	0.2772	0.1788	0.4244	0.3114	0.2252	0.1636
SKI	0.978490957193208	0.5642	0.7106	0.4464	0.6362	0.971	0.954	0.9514	0.9416
TPRG1L	0.134707771800777	0.147	0.2474	0.1042	0.1958	0.4028	0.5504	0.3348	0.475
DFFA	0.407905877428807	0.3252	0.167	0.2702	0.1216	0.3614	0.423	0.182	0.2548
ATAD3B	0.162496630017705	0.2176	0.117	0.1082	0.0631	0.1444	0.0666	0.0494	0.0119
SSU72	0.311833082654295	0.9878	0.9938	0.9848	0.9958	0.7004	0.6958	0.6498	0.6474
UBE2J2	0.826476551892845	0.8984	0.8208	0.8036	0.7086	0.7452	0.6698	0.547	0.5224
NOL9	0.178690389674337	0.0401	0.0427	0.0496	0.0623	0.105	0.0736	0.0746	0.0685
SLC45A1	0.014295381890555	0.063	0.0493	0.0572	0.0551	0.0215	0.0251	0.0087	0.0152
LZIC	0.431941966136213	0.3248	0.2672	0.193	0.1952	0.7148	0.7034	0.5538	0.6116
CLSTN1	0.323107517162303	0.285	0.3702	0.2032	0.2702	0.4394	0.5026	0.3452	0.4212
SLC25A33	0.0937214511870001	0.2244	0.1658	0.2278	0.1692	0.0015	0.0016	8e-04	0.0025
PLEKHG5	0.880391238093429	0.5936	0.8054	0.587	0.7928	0.0582	0.112	0.0459	0.0821
CAMTA1	0.390609695057888	0.964	0.7822	0.96	0.7746	0.4706	0.44	0.3204	0.325
EXOSC10	0.230718822530483	0.2046	0.167	0.1588	0.1184	0.1486	0.1014	0.0703	0.0501
NMNAT1	0.77912139505846	0.7444	0.604	0.722	0.599	0.0614	0.0363	0.0098	0.0078
AURKAIP1	0.0108371990730856	0.373	0.3362	0.2626	0.1888	0.2724	0.2196	0.1622	0.0771
MTHFR	0.52250298296801	0.6112	0.653	0.5846	0.6258	0.4006	0.6718	0.3658	0.6428
CTNNBIP1	0.544378964652351	0.3254	0.2264	0.2974	0.2072	0.073	0.0575	0.0659	0.0476
GABRD	0.57663329983924	0.7824	0.9762	0.743	0.979	0.9634	0.8468	0.951	0.8158
NOC2L	0.750082843183129	0.752	0.98	0.7174	0.9772	0.6668	0.5622	0.577	0.5068
KAZN	0.143093995579954	0.1398	0.1556	0.1552	0.1566	0.0047	0.0052	0.005	0.0059
MMP23B	0.28070564819585	0.1358	0.0754	0.097	0.0566	0.2498	0.1676	0.0899	0.051
AJAP1	0.176234444351874	0.9944	0.834	0.9962	0.8476	0.4552	0.3038	0.4862	0.3456
MIB2	0.543787529448236	0.7326	0.606	0.4112	0.2124	0.6966	0.4746	0.4584	0.209
MTOR	0.268274191582939	0.1554	0.2206	0.1348	0.177	0.2878	0.4522	0.1736	0.4036
TNFRSF25	0.207560344171569	0.4988	0.4018	0.3844	0.2592	0.3568	0.2178	0.131	0.0342
CCNL2	0.325692313434844	0.2854	0.2122	0.2384	0.1312	0.1772	0.1456	0.0913	0.071
LINC01128	0.425130384157559	0.5682	0.691	0.4296	0.6338	0.4644	0.6406	0.3218	0.5672
_ENSG00000230021	0.152892457855442	0.9072	0.7464	0.8654	0.6218	0.9008	0.8418	0.7746	0.6022
_ENSG00000236948	0.335118068901816	0.6484	0.7792	0.5258	0.6894	0.6026	0.5342	0.4826	0.3822
_ENSG00000237094	0.0960806287463509	0.0136	0.0145	0.0091	0.0115	0.1454	0.147	0.0468	0.0614
LINC01409	0.0746617396074479	0.073	0.0632	0.0902	0.08	0.0975	0.0942	0.128	0.12
MRPL20	0.903978669605436	0.9326	0.8864	0.932	0.8856	0.5408	0.723	0.5488	0.7232
CDK11B	0.000569898026504333	0.0057	0.0169	0.0023	0.01	0.001	4e-04	2e-04	3e-04
MTATP6P1	0.131285579519098	0.2746	0.331	0.15	0.1928	0.255	0.314	0.128	0.1902
STPG1	0.651414513365024	0.5646	0.4442	0.3982	0.3302	0.8992	0.9644	0.8278	0.9562
NIPAL3	0.833993332963459	0.9818	0.9632	0.9792	0.9528	0.981	0.8566	0.9818	0.8512
KDM1A	0.456925461506865	0.5618	0.5246	0.5888	0.5466	0.4878	0.7682	0.4194	0.7338
FAM76A	0.903978851914276	0.4738	0.7848	0.4046	0.7218	0.102	0.0812	0.1014	0.0821
FBXO42	0.635740968743613	0.2594	0.19	0.1506	0.112	0.14	0.1534	0.0697	0.0911
PITHD1	0.540788725912303	0.5576	0.4298	0.4014	0.2296	0.765	0.7808	0.729	0.7516
CROCC	0.300380334035973	0.0099	0.0111	0.0097	0.0117	0.1014	0.0736	0.0749	0.0608
SPEN	0.433625497174138	0.1968	0.5188	0.2008	0.4752	0.5356	0.648	0.5018	0.5214
CDC42	0.299046309408376	0.2156	0.3064	0.1884	0.29	0.5082	0.5722	0.4454	0.52
EIF4G3	0.941264839352078	0.3042	0.1416	0.3062	0.124	0.258	0.3036	0.2556	0.2726
RAP1GAP	0.0396307594640698	0.1286	0.0793	0.0298	0.0117	0.1944	0.21	0.0507	0.0852
CAPZB	0.0237851385475455	0.0709	0.0762	0.0647	0.0688	0.0617	0.1033	0.027	0.0619
CROCCP3	0.314117190136655	0.0219	0.0142	0.0163	0.013	0.0334	0.0308	0.0392	0.0381
SLC9A1	0.930991463020077	0.782	0.8096	0.758	0.8	0.0353	0.0309	0.0462	0.041
NUDC	0.266037289892203	0.1936	0.2816	0.205	0.3168	0.1654	0.1384	0.1588	0.1364
USP48	0.619800849062425	0.1152	0.191	0.0678	0.105	0.2202	0.2628	0.1612	0.2032
DNAJC16	0.0224347315033052	0.0249	0.0359	0.0329	0.0616	0.0153	0.0201	0.0128	0.0274
OPRD1	0.401501115474168	0.1296	0.0861	0.1338	0.1078	0.0897	0.0569	0.0818	0.0505
SRSF4	0.659766791058211	0.7618	0.704	0.7792	0.7332	0.1166	0.1318	0.1576	0.172
MECR	0.187275745652327	0.2146	0.1882	0.166	0.109	0.1402	0.151	0.0763	0.0679
PLEKHM2	0.383367816009813	0.1778	0.1642	0.216	0.2072	0.0879	0.0548	0.0685	0.0525
SDHB	0.162139308584855	0.1638	0.3686	0.1326	0.3042	0.0911	0.1364	0.0244	0.0513
IGSF21	0.432731459467996	0.2518	0.2582	0.259	0.2446	0.0446	0.0311	0.0335	0.0234
KIF17	0.049143962470047	0.0364	0.0274	0.0242	0.0183	0.0306	0.0281	0.0313	0.0288
ECE1	0.761382112327273	0.328	0.318	0.354	0.338	0.2498	0.3058	0.2832	0.328
SYF2	0.443404052438501	0.4548	0.5428	0.442	0.5008	0.692	0.9002	0.6466	0.8866
RSRP1	0.0489028615409043	0.0134	0.0086	0.0117	0.0103	0.0194	0.0204	0.0136	0.0125
STMN1	0.551283944008155	0.978	0.8414	0.983	0.8396	0.8122	0.8828	0.8128	0.875
MAN1C1	0.195961800189865	0.972	0.9824	0.9596	0.9738	0.4504	0.4326	0.2572	0.2942
DHDDS	0.0439002127720046	0.0568	0.0874	0.0655	0.096	0.0661	0.0549	0.0332	0.0293
ARID1A	0.261393535804806	0.9092	0.9996	0.906	0.9988	0.8006	0.8206	0.7872	0.8072
STX12	0.431632391042195	0.2232	0.1804	0.1944	0.1758	0.0748	0.1372	0.0313	0.0781
TAF12	0.745630677527744	0.9566	0.8164	0.9308	0.7824	0.2238	0.1508	0.0347	0.0505
HNRNPR	0.0232627303385908	0.314	0.1806	0.2078	0.1026	0.1264	0.2444	0.1268	0.2188
DNAJC8	0.447704886358478	0.4926	0.4602	0.4588	0.4484	0.5684	0.608	0.5302	0.5796
AHDC1	0.212754824093208	0.643	0.696	0.5402	0.6266	0.5798	0.6808	0.307	0.432
EMC1	0.838455042349821	0.8614	0.7864	0.8556	0.7744	0.52	0.788	0.489	0.766
UBR4	0.582551155426837	0.7394	0.834	0.7266	0.8034	0.0177	0.0071	0.0068	0.0057
HP1BP3	0.00239931808547444	0.0395	0.0721	0.0219	0.0453	0.1386	0.1366	0.024	0.0364
ATP5IF1	0.0903226341243431	0.2054	0.1894	0.2096	0.1982	0.151	0.2992	0.1464	0.298
EPHB2	0.572400178039175	0.2054	0.2136	0.1638	0.1484	0.1452	0.187	0.1288	0.1576
SRRM1	0.736452941036791	0.1822	0.1926	0.1898	0.196	0.2218	0.3428	0.1972	0.3346
SH3BGRL3	0.00404184163644488	0.6252	0.5766	0.558	0.536	0.534	0.488	0.4822	0.4544
RPL11	0.307791653831647	0.5388	0.709	0.4668	0.6456	0.3812	0.4568	0.289	0.375
WDTC1	0.0249872849442043	0.0879	0.0614	0.0781	0.0551	0.7104	0.635	0.5612	0.5104
EXTL1	0.244280062498309	0.6404	0.5134	0.5938	0.413	0.3222	0.202	0.106	0.057
EYA3	0.246825600947269	0.9492	0.9902	0.941	0.9896	0.9564	0.9236	0.949	0.8826
WASF2	0.693969427992419	0.4866	0.4	0.4386	0.3438	0.2018	0.17	0.0553	0.0446
NBL1	0.724324729367794	0.475	0.919	0.3168	0.8932	0.7718	0.9344	0.7024	0.915
PINK1	0.756498926285174	0.7158	0.501	0.6872	0.5146	0.5688	0.9528	0.5798	0.959
EPB41	0.323840797880352	0.5398	0.3892	0.2858	0.1526	0.1966	0.2604	0.012	0.0352
ATP13A2	0.0236397194733811	0.0944	0.138	0.064	0.1048	0.1954	0.1748	0.052	0.0434
GMEB1	0.452681308501223	0.7236	0.4566	0.6334	0.3876	0.5258	0.4362	0.248	0.2548
CAMK2N1	0.013518024722295	0.186	0.2406	0.0865	0.0853	0.171	0.212	0.052	0.0649
LUZP1	0.0825928935295139	0.0979	0.142	0.0775	0.1184	0.017	0.0764	6e-04	0.0047
OTUD3	0.430223378511092	0.1622	0.223	0.1072	0.1866	0.4434	0.4862	0.147	0.2854
TRNAU1AP	0.574134736018553	0.3562	0.3588	0.1508	0.1962	0.2828	0.1682	0.1078	0.0467
TMEM50A	0.606425989974665	0.5112	0.5502	0.5198	0.5568	0.8366	0.8556	0.8382	0.8584
TMEM222	0.812104816079665	0.4772	0.6052	0.4264	0.5634	0.8178	0.9594	0.7798	0.9472
SRSF10	0.552637181651691	0.2458	0.288	0.2302	0.2906	0.1696	0.0739	0.1198	0.0811
DDI2	0.972404658494025	0.3426	0.3384	0.3758	0.3474	0.8964	0.954	0.8932	0.9502
YTHDF2	0.732522172532841	0.9332	0.9758	0.9274	0.9766	0.5388	0.6866	0.4626	0.6314
HMGN2	0.48352188877872	0.9536	0.9324	0.9502	0.9148	0.9242	0.9064	0.9102	0.903
PHACTR4	0.856817766431659	0.327	0.2892	0.193	0.1472	0.1838	0.2314	0.1242	0.155
MACO1	0.288201731457773	0.7226	0.8102	0.7214	0.7786	0.9782	0.9092	0.9774	0.901
CROCCP2	0.332280507733418	0.0655	0.0251	0.1	0.0566	0.0775	0.0875	0.0399	0.0666
NBPF1	0.581938341032019	0.985	0.6966	0.9898	0.6882	0.4348	0.3972	0.3988	0.356
EMC1-AS1	0.086972274279587	0.5116	0.7194	0.3534	0.602	0.6842	0.5654	0.4774	0.3704
_ENSG00000233478	0.949927171654944	0.7588	0.695	0.6152	0.4492	0.5678	0.5918	0.2884	0.311
UQCRHL	0.989277246356078	0.4952	0.5696	0.4126	0.511	0.9068	0.916	0.893	0.893
_ENSG00000235912	0.0311042250135857	0.0908	0.1164	0.0588	0.0789	0.1574	0.2562	0.1034	0.188
ELOA-AS1	0.892359280552309	0.8584	0.7928	0.801	0.6892	0.7964	0.9154	0.66	0.846
_ENSG00000240553	0.637163060854723	0.414	0.2786	0.2346	0.1142	0.4426	0.3356	0.1868	0.115
_ENSG00000280114	0.310743890636589	0.5196	0.8866	0.5704	0.902	0.506	0.5538	0.4676	0.5414
AK2	0.0196644267141694	0.099	0.2212	0.0436	0.1258	0.0375	0.0369	0.0033	0.0079
SCMH1	0.758283092796636	0.3484	0.3644	0.1086	0.1628	0.7916	0.8614	0.689	0.8276
NCDN	0.125470560933227	0.3056	0.3774	0.24	0.3232	0.2552	0.3854	0.1782	0.3036
KPNA6	0.971456286514362	0.3228	0.2212	0.2168	0.1544	0.5004	0.4462	0.2878	0.301
TRIT1	0.427702177587895	0.6288	0.4344	0.562	0.3234	0.6272	0.6026	0.431	0.4742
TRAPPC3	0.00396774822960232	0.0107	0.0287	0.0092	0.0267	0.0447	0.17	0.0579	0.1768
THRAP3	0.733916623273446	0.0114	0.0163	0.0028	0.0077	0.3352	0.2588	0.2554	0.2044
SNRNP40	0.137067249183865	0.1462	0.1752	0.1294	0.1746	0.0154	0.0335	0.0082	0.0215
KDM4A	0.426215506665573	0.6418	0.6168	0.6412	0.6078	0.5882	0.4924	0.446	0.3876
NFYC	0.0449319615291146	0.2398	0.2536	0.248	0.2616	0.5608	0.58	0.4226	0.482
TESK2	0.852780905353759	0.9214	0.9014	0.892	0.8718	0.8822	0.855	0.7764	0.7836
EIF2B3	0.587087818048566	0.5258	0.379	0.2746	0.195	0.6966	0.6742	0.412	0.419
SMAP2	0.059496064318252	0.4254	0.5904	0.2962	0.5102	0.4362	0.442	0.1764	0.2846
PPIE	0.392750156391353	0.7718	0.8364	0.7826	0.8552	0.8428	0.8284	0.8308	0.8132
ZMPSTE24	0.612931558692254	0.9036	0.88	0.9	0.856	0.2	0.3268	0.2002	0.2984
EIF3I	0.537434491089949	0.889	0.8748	0.8828	0.8576	0.7916	0.8748	0.7682	0.8572
NKAIN1	0.108876792676059	0.4422	0.5264	0.4224	0.522	0.3736	0.4786	0.348	0.4462
COL16A1	0.000941424173363202	0.0183	0.0086	0.0233	0.0105	0.0334	0.0254	0.0251	0.018
POMGNT1	0.586858589000445	0.834	0.879	0.797	0.846	0.8864	0.9344	0.8878	0.9346
MAST2	0.511286143861463	0.2668	0.154	0.2206	0.1228	0.1538	0.2624	0.168	0.2902
