geneType	pval_M_zinb	pval_M_kde	pval_S0_zinb	pval_S0_kde	pval_S1_zinb	pval_S1_kde	deseq2_pval	mast_pval_glm	mast_pval_glmer
EE	0.498	0.697	0.551	0.683	0.54	0.664	0.648150932814614	0.0705545480711542	0.64755389133656
EE	0.488	0.07	0.498	0.067	0.529	0.07	0.666054509035378	0.544860316719025	0.727508589324564
dpDE	0.136	0.148	0.083	0.086	0.084	0.106	0.078958823342371	5.00195803275328e-34	0.0183449986236085
EE	0.202	0.6	0.233	0.615	0.212	0.618	0.450085979700943	0.346520878980032	0.26111818776727
EE	0.575	0.739	0.582	0.71	0.579	0.712	0.849838133100013	0.436761387876724	0.922480340380128
dpDE	0.007	0.005	0.007	0.002	0.005	0.003	2.38600673836548e-10	1.27806703281645e-112	7.79158909884278e-11
EE	0.218	0.805	0.131	0.695	0.12	0.551	0.0472880391993336	6.85612519551566e-25	0.0533368849406565
EE	0.326	0.312	0.308	0.298	0.283	0.269	0.551944572287815	0.0277843548529768	0.86105387920684
EE	0.926	0.72	0.922	0.739	0.914	0.749	0.754203766022227	0.294363438815479	0.910930782410878
EE	0.394	0.598	0.434	0.639	0.386	0.582	0.369192082038298	0.0926998561675439	0.627923912272337
dpDE	0.006	0.006	0.006	0.006	0.006	0.009	9.31569280300683e-05	8.38311267798777e-64	1.29153436619853e-05
EE	0.381	0.465	0.362	0.489	0.335	0.512	0.557641555566286	0.0339224250330801	0.583265867577471
EE	0.435	0.318	0.454	0.369	0.452	0.369	0.339829411885564	7.23099965170819e-18	0.258818230976906
EE	0.76	0.745	0.766	0.74	0.743	0.707	0.955899248500837	0.0798604392264087	0.187144635212759
EE	0.616	0.382	0.644	0.384	0.615	0.345	0.400951251457651	0.232566617251827	0.534075171998649
EE	0.533	0.747	0.555	0.751	0.545	0.746	0.975081104545239	0.521410149051107	0.98121103627766
EE	0.556	0.446	0.538	0.494	0.55	0.499	0.569220708995491	0.000116185618867453	0.816233505189291
dpDE	0.001	0.001	0.001	0.002	0.001	0.001	8.7138911923495e-12	1.6188230478645e-105	2.23011137355115e-13
EE	0.207	0.234	0.204	0.25	0.217	0.257	0.21674814009076	4.27737880848104e-09	0.204044698307269
EE	0.755	0.799	0.73	0.768	0.748	0.79	0.978110757162932	0.973959141444533	0.999227959865938
dpDE	0.002	0.007	0.004	0.004	0.007	0.005	0.000314256107642981	9.75777740185937e-86	0.000311233217413149
EE	0.836	0.959	0.858	0.97	0.83	0.959	0.892926544955079	0.851864236218355	0.973472306686122
EE	0.431	0.319	0.463	0.327	0.434	0.365	0.411098019028999	0.00323504620645951	0.182647750438137
EE	0.319	0.325	0.319	0.252	0.34	0.272	0.237517960750937	1.89620156041884e-41	0.32499926241758
dpDE	0.082	0.03	0.095	0.032	0.099	0.035	0.00444310753527776	6.34342676809891e-39	0.00122697697223053
EE	0.982	0.598	0.982	0.54	0.978	0.531	0.961490150349051	0.919806244168024	0.923607524046166
EE	0.609	0.564	0.611	0.56	0.648	0.586	0.745701327519244	0.00621424293393906	0.925604865987709
EE	0.219	0.368	0.212	0.384	0.216	0.359	0.276551869478585	0.000122615545874707	0.205831512525587
multDE	0.309	0.099	0.3	0.048	0.27	0.053	0.720816039837107	0.738948839889039	0.791468262144378
EE	0.441	0.499	0.467	0.521	0.42	0.473	0.680928955918022	0.224715099839817	0.631036324571638
EE	0.517	0.466	0.489	0.475	0.492	0.483	0.435787750507143	0.0064432419063972	0.60449539562303
EE	0.723	0.87	0.64	0.869	0.648	0.85	0.950983664287784	0.971574109550244	0.912815302795259
EE	0.513	0.545	0.392	0.457	0.372	0.445	0.366442626170988	1.63843972735792e-05	0.603322018634875
multDE	0.702	0.461	0.689	0.446	0.694	0.437	0.314904724771374	0.0451065036809829	0.128702203011187
dpDE	0.003	0.01	0.003	0.019	0.004	0.016	3.31732836372027e-08	6.50884266418979e-42	3.23014530298824e-09
EE	0.686	0.459	0.65	0.522	0.655	0.485	0.401257070055693	2.91002497411255e-06	0.411018812017834
EE	0.267	0.262	0.281	0.275	0.245	0.236	0.455409712731321	0.000259423900126976	0.466671952647549
EE	0.022	0.022	0.008	0.016	0.015	0.019	0.0369638195795912	1.65138361676367e-06	0.0131687586814587
EE	0.698	0.922	0.67	0.923	0.711	0.928	0.954712635841257	0.097528760757989	0.679859012469203
EE	0.265	0.255	0.261	0.238	0.267	0.25	0.255685126928734	4.23845711986602e-53	0.188413989486715
EE	0.681	0.849	0.655	0.849	0.659	0.827	0.39489608560116	0.000372545539133005	0.232834218269058
dpDE	0.001	0.003	0.002	0.001	0.001	0.001	2.2757579503468e-07	2.33600603967094e-169	4.03274131378136e-09
EE	0.7	0.937	0.691	0.929	0.682	0.928	0.905174010366163	0.0430503765754342	0.796290330071015
multDE	0.581	0.984	0.569	0.977	0.605	0.988	0.509671652714197	2.76423451623337e-17	0.338594576601015
EE	0.866	0.874	0.846	0.87	0.852	0.88	0.83219779173166	0.497546210505729	0.938369607781669
EE	0.976	0.97	0.963	0.973	0.974	0.972	0.814890714194822	0.638006192022309	0.945905604266867
EE	0.6	0.948	0.59	0.945	0.587	0.942	0.74420393228847	0.400569751518672	0.758149224123152
EE	0.673	0.647	0.704	0.658	0.697	0.656	0.379017065818582	0.0190526658096311	0.65678024363456
EE	0.545	0.635	0.572	0.625	0.558	0.629	0.335410734301662	5.4489432449932e-10	0.262530584151331
EE	0.387	0.511	0.393	0.547	0.367	0.518	0.344293855987317	3.27188325822231e-11	0.297159914865784
EE	0.715	0.828	0.682	0.816	0.713	0.838	0.925059112623405	0.132054788086023	0.956732752515936
EE	0.064	0.599	0.048	0.594	0.078	0.587	0.138767807957571	0.000110035331329015	0.125596345266052
EE	0.272	0.485	0.272	0.487	0.244	0.485	0.113526494534615	4.98379811524405e-07	0.0862931342604236
dpDE	0.247	0.212	0.237	0.222	0.205	0.192	0.27973520745522	7.36312874295227e-16	0.185533178788146
EE	0.776	0.801	0.725	0.812	0.717	0.793	0.690918866527687	0.252454064785099	0.404606246314413
dpDE	0.026	0.302	0.02	0.262	0.031	0.263	1.92563131546247e-05	1.53670931318541e-38	0.000636210105975638
multDE	0.524	0.128	0.521	0.114	0.52	0.127	0.497090363211007	0.0260596460739864	0.114399553084287
dpDE	0.001	0.001	0.002	0.002	0.003	0.002	6.21002474101817e-08	1.93005704736277e-89	3.45772071665968e-07
EE	0.347	0.362	0.365	0.353	0.339	0.345	0.350120783211686	7.09389940162151e-08	0.453922035240886
EE	0.419	0.589	0.467	0.584	0.442	0.555	0.0743123813164895	2.75821008052972e-45	0.396542856821018
dpDE	0.002	0.087	0.002	0.089	0.003	0.087	7.13565898322519e-09	8.5575103501672e-35	2.10590753526048e-06
dpDE	0.036	0.037	0.045	0.044	0.043	0.037	0.000488029711830612	2.12809401008916e-103	0.00154516511311694
dpDE	0.026	0.016	0.029	0.02	0.022	0.011	0.00997107400371853	7.53551662549293e-35	0.00217011731702333
