geneType	pval_M_zinb	pval_M_kde	pval_S0_zinb	pval_S0_kde	pval_S1_zinb	pval_S1_kde	deseq2_pval	mast_pval_glm	mast_pval_glmer
EE	0.283	0.815	0.28	0.814	0.288	0.819	0.508609275143212	1.31742279402651e-11	0.495851499333883
EE	0.256	0.731	0.227	0.763	0.241	0.72	0.682859926102786	0.00427194067416879	0.929601026115107
EE	0.788	0.416	0.769	0.469	0.806	0.452	0.968925864488169	0.957740187785415	0.766941183863851
meanDE	0.686	0.698	0.677	0.704	0.672	0.678	0.529153337706715	0.0500418891734537	0.641131257792649
varDE	0.015	0.228	0.017	0.265	0.01	0.243	0.601505059989445	1.61774298133412e-18	4.09336075966257e-06
varDE	0.001	0.033	0.002	0.043	0.002	0.044	0.126506591537391	1.23079730756765e-24	2.06898589843441e-06
EE	0.263	0.714	0.231	0.698	0.241	0.706	0.195757148743973	5.22132843038494e-09	0.0429607109672338
EE	0.833	0.993	0.814	0.995	0.825	0.994	0.316040264148242	0.00257817099899626	0.126081685783909
EE	0.952	0.789	0.957	0.777	0.965	0.786	0.877891326045264	0.0981071455444731	0.990184853302146
EE	0.646	0.819	0.666	0.829	0.653	0.829	0.226718987411578	0.111778910134382	0.807914367529842
EE	0.331	0.737	0.347	0.732	0.349	0.73	0.113139630545554	0.00040554603923845	0.0909720550887406
EE	0.836	0.449	0.838	0.405	0.833	0.418	0.713920227533711	0.553407060763295	0.851337626402323
EE	0.493	0.53	0.475	0.542	0.449	0.526	0.633660092933103	1.29145486397224e-05	0.775690241245378
EE	0.476	0.161	0.481	0.119	0.474	0.136	0.653633072115864	0.544633626088945	0.814744351321027
EE	0.466	0.238	0.475	0.287	0.444	0.245	0.43178306752001	0.00143345274985642	0.384901868773521
meanDE	0.11	0.019	0.111	0.032	0.095	0.033	0.0484176768635396	7.29740155233449e-15	0.0527195322736662
EE	0.343	0.15	0.356	0.15	0.378	0.149	0.0749306284327131	7.6091375307344e-22	0.0134499874289354
varDE	0.196	0.174	0.226	0.207	0.223	0.195	0.397923699611773	1.62750297488598e-11	0.153312556077725
meanDE	0.408	0.784	0.381	0.745	0.409	0.735	0.215939520762381	0.00157813407213391	0.76173895252074
EE	0.382	0.295	0.414	0.304	0.362	0.265	0.361826404254124	8.00674247945799e-55	0.283723679706231
EE	0.903	0.858	0.903	0.873	0.886	0.86	0.634295633862248	2.1051180050612e-08	0.738353499316224
EE	0.08	0.063	0.072	0.057	0.059	0.041	0.142447816302364	4.07034187671228e-30	0.0668352259819316
EE	0.522	0.636	0.553	0.641	0.525	0.61	0.825107537071239	0.655830873791227	0.911184235071368
EE	0.281	0.04	0.289	0.051	0.246	0.042	0.904609489863222	0.00034605507711101	0.944198492338253
EE	0.091	0.226	0.032	0.203	0.035	0.179	0.0546532006549461	1.45810920801152e-71	0.0191860464695161
EE	0.726	0.549	0.746	0.503	0.742	0.529	0.761742349179361	0.0288986830728175	0.352601735292822
EE	0.107	0.105	0.091	0.088	0.09	0.086	0.0575623211294559	7.38801591690441e-12	0.0173879219175577
varDE	0.047	0.079	0.06	0.07	0.05	0.085	0.156303228928958	1.11874285348959e-22	0.00415018386657534
EE	0.158	0.655	0.174	0.643	0.171	0.636	0.410564265631366	0.0325906947450253	0.306446960226375
EE	0.617	0.577	0.638	0.517	0.6	0.561	0.217614044053908	0.0182650648163228	0.0982809087982694
EE	0.265	0.212	0.247	0.183	0.253	0.188	0.0984161691507832	2.42015149950408e-20	0.0349640534612279
EE	0.49	0.597	0.429	0.646	0.453	0.605	0.349726171790795	0.708242397228491	0.497499322282207
EE	0.79	0.059	0.801	0.062	0.792	0.071	0.444092832536047	0.00163752673122442	0.675401872459363
EE	0.467	0.776	0.493	0.736	0.437	0.764	0.170302735292826	0.0299806603894783	0.0455211104441107
meanDE	0.015	0.019	0.011	0.011	0.014	0.015	0.00727970331036658	5.40769529871324e-161	0.0199533578225118
EE	0.595	0.723	0.647	0.662	0.639	0.627	0.525622716664301	0.0746179952296502	0.463909082015076
EE	0.795	0.847	0.793	0.834	0.797	0.842	0.92217688970338	4.0894863788664e-11	0.740672670174652
EE	0.399	0.198	0.401	0.198	0.424	0.212	0.506061732393267	2.49885785600169e-07	0.466814032531151
EE	0.405	0.851	0.412	0.868	0.428	0.867	0.688664951088692	0.772895761760757	0.801743869910722
EE	0.758	0.849	0.716	0.834	0.724	0.841	0.570123312231428	0.0766219016329765	0.102462185208905
varDE	0.028	0.058	0.023	0.052	0.039	0.06	0.208475040896565	6.91599480208868e-19	1.38232107816354e-05
meanDE	0.108	0.883	0.096	0.805	0.104	0.821	0.0802892905203993	8.33360622677445e-07	0.118628105300857
meanDE	0.027	0.395	0.036	0.357	0.033	0.35	0.105585926049135	0.00020434383567375	0.113539204543037
varDE	0.273	0.388	0.29	0.369	0.262	0.371	0.201807925931232	8.66345947051662e-17	0.00133572130027353
EE	0.253	0.219	0.183	0.209	0.194	0.227	0.344308994743018	0.0497331599661966	0.772682722338999
EE	0.121	0.102	0.14	0.107	0.111	0.089	0.181705325380636	5.7051279757026e-15	0.0694957443742859
EE	0.842	0.728	0.853	0.686	0.876	0.721	0.89364478048693	0.219725809636984	0.429481920464122
EE	0.964	0.699	0.967	0.708	0.956	0.651	0.404504863473355	0.0108167834095044	0.166482767355453
varDE	0.001	0.117	0.001	0.091	0.001	0.121	0.735207387021131	3.39929115085022e-18	1.44739229583308e-08
meanDE	0.393	0.907	0.388	0.894	0.391	0.894	0.422080855800821	0.000765824383739308	0.178541468652258
EE	0.232	0.361	0.232	0.394	0.256	0.418	0.0238627307507167	4.84349312456257e-05	0.00126742926717709
EE	0.347	0.326	0.384	0.358	0.358	0.321	0.756608271152524	0.0781795558270749	0.379721877597654
EE	0.809	0.843	0.808	0.834	0.782	0.839	0.41858030313839	0.228659375923884	0.0890434006714849
EE	0.795	0.472	0.805	0.449	0.797	0.472	0.944315547549549	0.306697974208593	0.945644477402899
EE	0.508	0.115	0.477	0.101	0.48	0.106	0.296584998151501	0.00559132420964184	0.324508233752784
EE	0.711	0.082	0.673	0.074	0.671	0.078	0.413235053678295	1.6589610315179e-05	0.334212087568015
EE	0.636	0.454	0.651	0.486	0.61	0.469	0.243114533436905	0.0642569889647898	0.0988622104676239
EE	0.251	0.646	0.268	0.607	0.275	0.598	0.573183289130193	0.140161718121208	0.682680236665163
EE	0.553	0.53	0.466	0.548	0.489	0.55	0.319674777567363	0.0290160695566717	0.47000474392601
EE	0.137	0.418	0.139	0.434	0.148	0.434	0.105983765604495	3.72547345687491e-06	0.795681063859032
EE	0.381	0.744	0.427	0.764	0.425	0.75	0.638896282897047	0.0512200858832762	0.449614777882286
EE	0.892	0.516	0.883	0.521	0.896	0.527	0.684862302994714	9.07830360775355e-07	0.612604985843318
EE	0.161	0.051	0.174	0.055	0.18	0.054	0.279806011414008	4.07756601199362e-118	0.0600183104696548
EE	0.125	0.567	0.124	0.541	0.143	0.531	0.0690107800410904	1.09481912182058e-12	0.051987360010232
EE	0.758	0.773	0.756	0.728	0.738	0.735	0.664782780101338	0.0656605379047947	0.708299990088579
EE	0.112	0.372	0.126	0.37	0.149	0.37	0.962997694484531	0.433759895731111	0.719368815980878
EE	0.157	0.224	0.103	0.2	0.094	0.173	0.32324276796876	0.0152128333037255	0.332763288588298
EE	0.576	0.439	0.597	0.481	0.57	0.459	0.513547382202979	0.000160351756202513	0.471710309373659
EE	0.813	0.664	0.78	0.634	0.789	0.675	0.934040639529508	0.00583313897005265	0.906717984453158
EE	0.41	0.406	0.46	0.465	0.47	0.489	0.117291162800825	0.00039196491543522	0.110429755363576
meanDE	0.007	0.17	0.012	0.173	0.01	0.139	0.000634592583718529	6.25044154234058e-11	0.329863863231754
EE	0.022	0.143	0.023	0.133	0.027	0.155	0.0566478103263478	0.0013725154234756	0.0586273727668941
EE	0.002	0.057	0.003	0.066	0.003	0.063	0.0462296238968508	2.09740945051595e-05	0.0684689930319881
EE	0.547	0.984	0.549	0.987	0.555	0.989	0.286056214831116	1.20496485052701e-08	0.711629216377908
EE	0.867	0.67	0.857	0.695	0.846	0.688	0.758387670092465	0.177159685033965	0.363834276842757
EE	0.988	0.285	0.98	0.296	0.982	0.3	0.319653490265567	4.80595570499395e-21	0.530849374186984
meanDE	0.102	0.152	0.084	0.131	0.083	0.128	0.0315183045837924	2.90096342061989e-08	0.0131823837202936
EE	0.735	0.229	0.713	0.198	0.725	0.186	0.820192107207783	0.07476167925019	0.550910764815113
EE	0.984	0.802	0.987	0.821	0.98	0.805	0.698298343362683	3.9951069969638e-07	0.500114545594437
EE	0.981	0.888	0.985	0.883	0.979	0.864	0.994271961452334	0.064130438402973	0.744192714786741
EE	0.425	0.526	0.462	0.525	0.447	0.502	0.267794403612036	0.00467830211500361	0.443599693721131
EE	0.677	0.401	0.698	0.423	0.66	0.434	0.926610651388266	1.77424117961349e-50	0.823003420183385
meanDE	0.034	0.01	0.043	0.022	0.044	0.017	0.0386222204631674	2.12517738861883e-24	0.0428080425309138
EE	0.673	0.888	0.649	0.884	0.661	0.883	0.406066922030916	0.00489667699767167	0.666711974920707
meanDE	0.866	0.284	0.863	0.324	0.856	0.298	0.49916377701453	3.68923651379361e-06	0.40815373953055
EE	0.392	0.726	0.397	0.731	0.378	0.725	0.424644574686897	0.00590022268877038	0.350667721542664
EE	0.401	0.601	0.42	0.589	0.436	0.574	0.546265434018976	0.545982888574946	0.699045969909064
EE	0.519	0.14	0.455	0.064	0.468	0.077	0.0866503231649465	0.0298627791898306	0.332393920246758
varDE	0.164	0.248	0.147	0.235	0.15	0.231	0.0642844696321065	3.62099340420793e-81	0.00118642832817839
EE	0.414	0.852	0.411	0.822	0.426	0.814	0.863233751518953	0.354985049350216	0.311115518091542
EE	0.725	0.995	0.694	0.995	0.672	0.996	0.810310566712343	0.600974058104787	0.779943322223314
EE	0.809	0.169	0.78	0.139	0.806	0.168	0.869239371200468	0.626095227672173	0.582335720533171
varDE	0.422	0.601	0.447	0.577	0.429	0.557	0.488448375574954	1.16367409646913e-14	9.43361283984076e-06
varDE	0.015	0.963	0.026	0.968	0.039	0.963	0.302500956642663	6.29949148784136e-18	4.0949574078493e-05
EE	0.265	0.154	0.245	0.156	0.225	0.159	0.942810349979173	0.770370668517371	0.784215149741065
EE	0.091	0.845	0.107	0.841	0.102	0.808	0.424353739646575	0.338900480072125	0.498832424771626
meanDE	0.276	0.265	0.278	0.26	0.282	0.255	0.636734686643168	0.000139079552697842	0.728315490971876
EE	0.479	0.571	0.471	0.534	0.454	0.537	0.0485699788149895	3.81239958166779e-07	0.318482262082708
EE	0.023	0.343	0.025	0.307	0.021	0.307	0.0359256924348365	1.43793637329788e-15	0.0289763519832577
varDE	0.304	0.249	0.348	0.284	0.357	0.302	0.339852690235063	6.93543261214329e-36	0.00320871967562154
EE	0.667	0.356	0.685	0.379	0.671	0.333	0.812873640284814	0.239656328936936	0.466763613591967
EE	0.286	0.346	0.305	0.355	0.32	0.361	0.497553498094526	0.980551720228061	0.725808561193388
EE	0.657	0.839	0.649	0.849	0.613	0.834	0.998971864259487	5.19563542104167e-11	0.874453619937486
EE	0.634	0.714	0.633	0.734	0.617	0.687	0.313538328356097	1.10843164646981e-07	0.210553056341779
EE	0.064	0.248	0.075	0.267	0.08	0.26	0.214377755580513	0.000141827803224368	0.51108443251535
EE	0.225	0.884	0.254	0.861	0.228	0.885	0.592121895432076	0.752219497061938	0.994906912241668
varDE	0.001	0.025	0.001	0.007	0.001	0.01	0.589821341023359	4.28913860766108e-19	5.93090161427723e-06
EE	0.666	0.768	0.656	0.77	0.694	0.793	0.797113842993649	0.000291229006527451	0.937805765109611
EE	0.609	0.827	0.604	0.816	0.583	0.774	0.922519048592217	0.71215386600952	0.881671558108587
meanDE	0.889	0.468	0.902	0.361	0.889	0.377	0.211131137999083	0.00161375052253156	0.267083323427898
EE	0.104	0.759	0.104	0.768	0.101	0.765	0.248084075803071	6.26584902304922e-06	0.271884177337764
EE	0.468	0.572	0.479	0.567	0.457	0.553	0.579434559494451	0.0818724976989098	0.657512314559726
meanDE	0.707	0.5	0.649	0.396	0.71	0.349	0.840203348131858	0.236695255454121	0.99607142878982
EE	0.901	0.903	0.906	0.901	0.903	0.889	0.789941821451558	0.00781661225582169	0.905553020526133
EE	0.576	0.931	0.594	0.933	0.56	0.91	0.635639997471204	0.111724619549583	0.695104825888441
EE	0.717	0.501	0.702	0.51	0.721	0.491	0.655933878212167	0.324917555106073	0.783470179575347
varDE	0.281	0.581	0.288	0.58	0.279	0.565	0.119508750624932	7.03120877221153e-18	0.000170449660975172
EE	0.091	0.107	0.09	0.112	0.092	0.118	0.01891013740688	2.81077697973384e-08	0.0597899982309106
EE	0.103	0.645	0.092	0.634	0.086	0.631	0.20519734486317	0.0224502019724988	0.242170769649001
EE	0.225	0.543	0.206	0.541	0.215	0.509	0.51814309723683	0.91568100698971	0.87139483411023
EE	0.42	0.276	0.41	0.287	0.425	0.284	0.587140816077374	2.67776934987041e-06	0.177644119118444
varDE	0.133	0.622	0.133	0.624	0.133	0.557	0.411243072062992	1.64219659735742e-15	1.62516207885131e-06
EE	0.169	0.188	0.128	0.162	0.141	0.163	0.402018127581108	4.97984549928812e-06	0.358674199231602
EE	0.69	0.511	0.693	0.492	0.693	0.51	0.427064366827634	0.00145709903501291	0.142399340189669
EE	0.79	0.806	0.797	0.796	0.815	0.785	0.534268398252264	0.00291966765277393	0.0610197154994442
EE	0.225	0.356	0.185	0.287	0.192	0.303	0.0917726051836916	3.91377242841854e-11	0.088797221310843
EE	0.258	0.253	0.269	0.253	0.289	0.273	0.0777730716202745	8.72518666184471e-24	0.147403086797794
EE	0.362	0.04	0.317	0.024	0.324	0.043	0.247342688485481	0.0266660058569474	0.4362375083362
EE	0.922	0.762	0.915	0.722	0.906	0.713	0.883187500752285	0.251340081175543	0.969835017378221
EE	0.253	0.997	0.253	0.997	0.26	0.999	0.330819536898352	0.212403370011756	0.448810190129991
EE	0.576	0.453	0.544	0.488	0.511	0.465	0.600594006441943	0.0406153295310189	0.736182533419289
varDE	0.012	0.411	0.016	0.412	0.026	0.443	0.611533951856687	5.18726398479138e-21	2.93051889240075e-06
EE	0.199	0.233	0.205	0.248	0.219	0.263	0.262492439808764	0.00105531405537269	0.217511111268322
EE	0.134	0.672	0.067	0.702	0.075	0.708	0.526136464863803	0.00937793747381144	0.974167714435371
meanDE	0.645	0.951	0.595	0.965	0.605	0.969	0.457026719760906	0.000421425394489824	0.392855648380485
EE	0.619	0.75	0.611	0.787	0.628	0.812	0.854246055758657	0.226822496906685	0.601696721172939
EE	0.514	0.815	0.463	0.741	0.436	0.745	0.0530760901009367	3.99113217590389e-13	0.0718219603296398
EE	0.104	0.284	0.123	0.293	0.121	0.299	0.742082620161683	0.797264273010559	0.96250793089913
meanDE	0.001	0.319	0.001	0.294	0.001	0.293	1.49661783100758e-06	3.28688996579506e-20	7.52151995311909e-08
meanDE	0.259	0.339	0.243	0.325	0.254	0.313	0.000112580638227541	1.08574212977255e-14	0.000671703275538822
varDE	0.356	0.322	0.365	0.32	0.335	0.31	0.969691611544732	1.11818376733773e-26	0.212140066551913
EE	0.324	0.591	0.325	0.566	0.328	0.575	0.447765513584828	2.74049241159533e-08	0.588106755066942
varDE	NA	0.168	NA	0.166	NA	0.175	0.827613239533735	1.93039677658561e-41	0.00237573154906318
EE	0.636	0.617	0.642	0.637	0.594	0.635	0.933596449319397	0.122639688651231	0.820201124457165
EE	0.771	0.952	0.762	0.938	0.748	0.93	0.0418046047779083	8.59011314924843e-15	0.00349641684644261
EE	0.696	0.62	0.673	0.57	0.652	0.581	0.719601482765849	0.572443924097201	0.484110002435578
meanDE	0.24	0.419	0.269	0.412	0.277	0.392	0.0484753264613291	8.73318991157669e-12	0.350303736039599
meanDE	0.221	0.681	0.244	0.674	0.237	0.661	0.0120435863739257	5.44616007829196e-11	0.00496639589125531
varDE	0.103	0.48	0.103	0.423	0.091	0.412	0.133789354223658	2.55631310477019e-16	8.22365970066712e-05
EE	0.786	0.519	0.766	0.432	0.725	0.426	0.367353416091935	0.826844702196613	0.385848361147592
EE	0.123	0.162	0.135	0.151	0.157	0.162	0.0793224655389087	4.82678656606803e-16	0.0299196682199588
